gene,disease,human_uid,match_uid,match_species,score,h_gini,m_gini,h_n,m_n,h_conc,m_conc,h_falpha,m_falpha
COX11,"Mitochondrial complex IV deficiency, nuclear type 23",Q9Y6N1,A3KMZ6,cow,95,0.9286,0.9265,272,278,72.0,46.0,0.27,0.26
GATA1,"X-linked dyserythropoietic anemia and thrombocytopenia; Thrombocytopenia with beta-thalassemia, X-linked; Anemia without",P15976,Q54M74,dictyostelium,95,0.9145,0.9125,409,387,72.0,67.0,0.12,0.11
GATA1,"X-linked dyserythropoietic anemia and thrombocytopenia; Thrombocytopenia with beta-thalassemia, X-linked; Anemia without",P15976,Q00939,rat,95,0.9145,0.9207,409,476,72.0,79.0,0.12,0.11
NTRK1,Congenital insensitivity to pain with anhidrosis,P04629,P24786,pig,95,0.9195,0.92,792,821,55.0,88.0,0.3,0.29
IFNGR2,Immunodeficiency 28,P38484,D3ZLB7,rat,95,0.9437,0.9455,333,334,88.0,83.0,0.23,0.23
CD19,"Immunodeficiency, common variable, 3",P15391,Q59X67,candida,95,0.9186,0.9142,552,546,59.0,75.0,0.15,0.13
PHC1,"Microcephaly 11, primary, autosomal recessive",P78364,Q6T264,mouse,95,0.9196,0.9184,1000,1016,74.0,93.0,0.21,0.18
CSF2RA,Pulmonary surfactant metabolism dysfunction 4,P15509,P08001,pig,95,0.9137,0.9105,396,411,66.0,52.0,0.18,0.17
SCARF2,Van den Ende-Gupta syndrome,Q96GP6,Q80W87,rat,95,0.9182,0.9104,867,957,77.0,103.0,0.11,0.11
IKZF5,Thrombocytopenia 7,Q9H5V7,P61376,rat,95,0.9347,0.9242,415,398,67.0,74.0,0.25,0.23
FGF17,Hypogonadotropic hypogonadism 20 with or without anosmia,O60258,Q9S772,arabidopsis,95,0.9213,0.9258,212,223,56.0,53.0,0.25,0.3
WFDC2,Bronchiectasis and nasal polyposis,Q14508,Q9ZV52,arabidopsis,95,0.9365,0.9432,120,126,53.0,38.0,0.25,0.29
WFDC2,Bronchiectasis and nasal polyposis,Q14508,P15521,dictyostelium,95,0.9365,0.9513,120,123,53.0,70.0,0.25,0.25
TBL1X,"Hypothyroidism, congenital, non-goitrous, 8",O60907,Q9C519,arabidopsis,95,0.9242,0.9178,573,549,70.0,80.0,0.26,0.26
TBL1X,"Hypothyroidism, congenital, non-goitrous, 8",O60907,Q8WN55,cow,95,0.9242,0.9201,573,553,70.0,95.0,0.26,0.27
PRRT2,"Episodic kinesigenic dyskinesia 1; Convulsions, familial infantile, with paroxysmal choreoathetosis; Seizures, benign fa",Q7Z6L0,Q55G16,dictyostelium,95,0.9396,0.9249,336,351,51.0,39.0,0.21,0.21
GMPPB,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A14; Muscular dystrophy-dystroglycanopathy,Q9Y5P6,Q6Z9A3,rice,95,0.9135,0.9028,356,357,43.0,42.0,0.3,0.31
LFNG,"Spondylocostal dysostosis 3, autosomal recessive",Q8NES3,O19058,chimp,95,0.9213,0.9112,375,368,52.0,61.0,0.42,0.41
FGF8,Hypogonadotropic hypogonadism 6 with or without anosmia; Hypoplastic femurs and pelvis,P55075,P94014,arabidopsis,95,0.9214,0.9219,229,215,52.0,56.0,0.28,0.27
B2M,"Immunodeficiency 43; Amyloidosis, hereditary systemic 6",P61769,P01888,cow,95,0.9227,0.9219,115,114,51.0,49.0,0.2,0.18
B2M,"Immunodeficiency 43; Amyloidosis, hereditary systemic 6",P61769,P01728,mouse,95,0.9227,0.9386,115,113,51.0,36.0,0.2,0.19
B2M,"Immunodeficiency 43; Amyloidosis, hereditary systemic 6",P61769,P01820,mouse,95,0.9227,0.9187,115,111,51.0,62.0,0.2,0.2
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,O82081,arabidopsis,95,0.9288,0.9198,247,257,49.0,51.0,0.19,0.23
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,P04814,fly,95,0.9288,0.9349,247,252,49.0,63.0,0.19,0.18
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,Q5HZW7,rat,95,0.9288,0.9138,247,251,49.0,39.0,0.19,0.2
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,Q69XV9,rice,95,0.9288,0.9265,247,256,49.0,59.0,0.19,0.2
FGF23,"Hypophosphatemic rickets, autosomal dominant; Tumoral calcinosis, hyperphosphatemic, familial, 2",Q9GZV9,Q6AWX7,rice,95,0.9288,0.9262,247,232,49.0,68.0,0.19,0.22
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,Q54SW1,dictyostelium,95,0.9252,0.9159,137,141,39.0,55.0,0.16,0.14
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,Q812B2,mouse,95,0.9252,0.9246,137,126,39.0,53.0,0.16,0.17
LHB,Hypogonadotropic hypogonadism 23 with or without anosmia,P01229,P01230,rat,95,0.9252,0.9203,137,137,39.0,56.0,0.16,0.17
GPIHBP1,Hyperlipoproteinemia 1D,Q8IV16,Q86HP9,dictyostelium,95,0.9175,0.9158,180,181,52.0,29.0,0.1,0.1
GPIHBP1,Hyperlipoproteinemia 1D,Q8IV16,Q9VV36,fly,95,0.9175,0.9185,180,187,52.0,54.0,0.1,0.1
GPIHBP1,Hyperlipoproteinemia 1D,Q8IV16,P16225,pig,95,0.9175,0.9136,180,183,52.0,39.0,0.1,0.17
RSPO4,"Nail disorder, non-syndromic congenital, 4",Q2I0M5,Q9LQI7,arabidopsis,95,0.9234,0.9095,230,223,44.0,31.0,0.2,0.2
RSPO4,"Nail disorder, non-syndromic congenital, 4",Q2I0M5,C0HKF7,fly,95,0.9234,0.925,230,261,44.0,35.0,0.2,0.18
RSPO4,"Nail disorder, non-syndromic congenital, 4",Q2I0M5,P20033,mouse,95,0.9234,0.9156,230,207,44.0,36.0,0.2,0.22
RSPO4,"Nail disorder, non-syndromic congenital, 4",Q2I0M5,Q69XV9,rice,95,0.9234,0.9265,230,256,44.0,59.0,0.2,0.2
RSPO4,"Nail disorder, non-syndromic congenital, 4",Q2I0M5,Q2FYN7,staph,95,0.9234,0.9161,230,235,44.0,51.0,0.2,0.18
JAM2,"Basal ganglia calcification, idiopathic, 8, autosomal recessive",P57087,O82081,arabidopsis,95,0.9258,0.9198,294,257,45.0,51.0,0.25,0.23
JAM2,"Basal ganglia calcification, idiopathic, 8, autosomal recessive",P57087,Q55G32,dictyostelium,95,0.9258,0.923,294,288,45.0,56.0,0.25,0.23
JAM2,"Basal ganglia calcification, idiopathic, 8, autosomal recessive",P57087,Q5QNS5,mouse,95,0.9258,0.9331,294,301,45.0,43.0,0.25,0.23
JAM2,"Basal ganglia calcification, idiopathic, 8, autosomal recessive",P57087,Q8BG84,mouse,95,0.9258,0.9164,294,259,45.0,58.0,0.25,0.25
JAM2,"Basal ganglia calcification, idiopathic, 8, autosomal recessive",P57087,Q8VIF2,mouse,95,0.9258,0.9201,294,331,45.0,54.0,0.25,0.23
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,P0AEE3,ecoli,95,0.9267,0.9088,336,351,47.0,47.0,0.24,0.24
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,Q5QNS5,mouse,95,0.9267,0.9331,336,301,47.0,43.0,0.24,0.23
GNB4,"Charcot-Marie-Tooth disease, dominant intermediate F",Q9HAV0,Q62086,mouse,95,0.9267,0.9341,336,350,47.0,81.0,0.24,0.24
FSHB,Hypogonadotropic hypogonadism 24 with or without anosmia,P01225,Q9VJS7,fly,95,0.9324,0.9278,125,137,47.0,48.0,0.22,0.23
FSHB,Hypogonadotropic hypogonadism 24 with or without anosmia,P01225,P06320,mouse,95,0.9324,0.9322,125,130,47.0,59.0,0.22,0.22
FSHB,Hypogonadotropic hypogonadism 24 with or without anosmia,P01225,Q925Q4,rat,95,0.9324,0.9274,125,126,47.0,62.0,0.22,0.22
CLEC7A,"Candidiasis, familial, 4",Q9BXN2,P10284,mouse,95,0.9188,0.9153,243,246,38.0,40.0,0.29,0.24
CLEC7A,"Candidiasis, familial, 4",Q9BXN2,Q9GLF5,pig,95,0.9188,0.9093,243,210,38.0,51.0,0.29,0.29
KLK11,Ichthyosis with erythrokeratoderma,Q9UBX7,P82347,mouse,95,0.926,0.9183,278,285,36.0,46.0,0.2,0.22
PPIB,Osteogenesis imperfecta 9,P23284,Q9S772,arabidopsis,95,0.926,0.9258,212,223,45.0,53.0,0.32,0.3
PPIB,Osteogenesis imperfecta 9,P23284,P81546,dog,95,0.926,0.9174,212,203,45.0,46.0,0.32,0.34
PPIB,Osteogenesis imperfecta 9,P23284,Q7F731,rice,95,0.926,0.9206,212,212,45.0,34.0,0.32,0.3
PON1,Microvascular complications of diabetes 5,P27169,P54832,dog,95,0.925,0.9199,351,350,40.0,62.0,0.25,0.25
PON1,Microvascular complications of diabetes 5,P27169,P0AEE3,ecoli,95,0.925,0.9088,351,351,40.0,47.0,0.25,0.24
PON1,Microvascular complications of diabetes 5,P27169,P29387,mouse,95,0.925,0.9179,351,336,40.0,45.0,0.25,0.23
PON1,Microvascular complications of diabetes 5,P27169,Q402U7,mouse,95,0.925,0.9161,351,368,40.0,80.0,0.25,0.24
PON1,Microvascular complications of diabetes 5,P27169,Q5QNS5,mouse,95,0.925,0.9331,351,301,40.0,43.0,0.25,0.23
PON1,Microvascular complications of diabetes 5,P27169,Q62087,mouse,95,0.925,0.9266,351,350,40.0,58.0,0.25,0.24
PON1,Microvascular complications of diabetes 5,P27169,Q8VIF2,mouse,95,0.925,0.9201,351,331,40.0,54.0,0.25,0.23
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,Q9M8X6,arabidopsis,95,0.9144,0.9166,228,223,30.0,38.0,0.33,0.28
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,O93525,chicken,95,0.9144,0.8999,228,219,30.0,38.0,0.33,0.35
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,Q6YZA9,rice,95,0.9144,0.9064,228,217,30.0,29.0,0.33,0.28
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,Q6ZCR3,rice,95,0.9144,0.9072,228,220,30.0,35.0,0.33,0.29
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,Q851J9,rice,95,0.9144,0.9101,228,225,30.0,20.0,0.33,0.32
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,Q942A8,rice,95,0.9144,0.9074,228,219,30.0,29.0,0.33,0.28
NOG,"Symphalangism, proximal 1A; Multiple synostoses syndrome 1; Tarsal-carpal coalition syndrome; Stapes ankylosis with broa",Q13253,Q7ZYY4,zebrafish,95,0.9144,0.901,228,223,30.0,32.0,0.33,0.33
SLURP1,Mal de Meleda,P55000,Q3UW21,mouse,95,0.9133,0.907,99,98,29.0,27.0,0.26,0.27
SLURP1,Mal de Meleda,P55000,Q9QXN2,rat,95,0.9133,0.9099,99,95,29.0,24.0,0.26,0.24
ASIP,Obesity and hypopigmentation,P42127,A0MH06,rice,95,0.9352,0.9297,128,118,35.0,41.0,0.2,0.18
DGKE,"Nephrotic syndrome 7; Hemolytic uremic syndrome, atypical, 7",P52429,Q9VDD3,fly,93,0.9347,0.9412,563,547,296.0,309.0,0.4,0.39
MBD5,"Intellectual developmental disorder, autosomal dominant 1",Q9P267,Q0VGT2,mouse,93,0.9405,0.9323,1490,1540,258.0,271.0,0.13,0.11
BUD13,Achalasia-progeroid syndrome,Q9BRD0,Q63802,rat,93,0.9195,0.9253,615,642,193.0,272.0,0.25,0.26
SYK,Immunodeficiency 82 with systemic inflammation,P43405,Q2YDM7,cow,93,0.9228,0.9261,631,648,241.0,282.0,0.39,0.4
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,Q9JLQ0,mouse,93,0.9363,0.9408,648,633,202.0,217.0,0.16,0.15
ATXN2,Spinocerebellar ataxia 2; Amyotrophic lateral sclerosis 13,Q99700,Q8BMB0,mouse,93,0.938,0.9374,1309,1260,280.0,235.0,0.1,0.09
CDH11,Elsahy-Waters syndrome; Teebi hypertelorism syndrome 2,P55287,Q6NUT7,zebrafish,93,0.9529,0.9477,792,810,203.0,182.0,0.19,0.19
CBLIF,Hereditary intrinsic factor deficiency,P27352,Q5E9N4,cow,93,0.9201,0.9243,413,421,217.0,169.0,0.5,0.51
CAMTA1,Cerebellar dysfunction with variable cognitive and behavioral abnormalities,Q9Y6Y1,Q60592,mouse,93,0.92,0.9141,1669,1730,197.0,270.0,0.24,0.21
CDH2,"Arrhythmogenic right ventricular dysplasia, familial, 14; Agenesis of corpus callosum, cardiac, ocular, and genital synd",P19022,Q9QWJ9,rat,93,0.9158,0.9212,902,918,165.0,186.0,0.19,0.16
MPEG1,Immunodeficiency 77,Q2M385,P34885,worm,93,0.9321,0.9364,712,703,172.0,217.0,0.33,0.33
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,O54967,mouse,93,0.9201,0.922,1038,1051,171.0,135.0,0.28,0.28
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,Q8K031,mouse,93,0.9201,0.9105,1038,1015,171.0,179.0,0.28,0.3
SMOC1,Ophthalmoacromelic syndrome,Q9H4F8,Q9Z0L0,mouse,93,0.9175,0.9185,430,422,117.0,141.0,0.34,0.37
MYRF,"Encephalitis/encephalopathy, mild, with reversible myelin vacuolization; Cardiac-urogenital syndrome; Nanophthalmos 1",Q9Y2G1,A7MB46,cow,93,0.9197,0.9125,1147,1130,162.0,212.0,0.15,0.14
MYRF,"Encephalitis/encephalopathy, mild, with reversible myelin vacuolization; Cardiac-urogenital syndrome; Nanophthalmos 1",Q9Y2G1,Q3UR85,mouse,93,0.9197,0.9139,1147,1134,162.0,124.0,0.15,0.16
NTRK2,"Developmental and epileptic encephalopathy 58; Obesity, hyperphagia, and developmental delay",Q16620,Q9DBX3,mouse,93,0.9158,0.9123,818,816,122.0,144.0,0.28,0.29
LRRC32,"Cleft palate, proliferative retinopathy, and developmental delay",Q14392,G3XA59,mouse,93,0.9404,0.949,658,659,135.0,183.0,0.28,0.28
LRRC32,"Cleft palate, proliferative retinopathy, and developmental delay",Q14392,Q62192,mouse,93,0.9404,0.9449,658,657,135.0,98.0,0.28,0.28
IFNAR2,Immunodeficiency 45,P48551,Q60846,mouse,93,0.9231,0.9205,511,494,99.0,82.0,0.15,0.15
CDC40,Pontocerebellar hypoplasia 15,O60508,Q5EAH9,arabidopsis,93,0.9174,0.9157,575,574,118.0,111.0,0.22,0.22
CDC40,Pontocerebellar hypoplasia 15,O60508,P38915,yeast,93,0.9174,0.9154,575,598,118.0,90.0,0.22,0.2
NGF,"Neuropathy, hereditary sensory and autonomic, 5",P01138,Q8GYJ2,arabidopsis,93,0.9331,0.9352,237,240,98.0,82.0,0.27,0.27
NGF,"Neuropathy, hereditary sensory and autonomic, 5",P01138,Q1HCM0,mouse,93,0.9331,0.9292,237,241,98.0,112.0,0.27,0.27
ARL3,Joubert syndrome 35; Retinitis pigmentosa 83,P36405,P67246,salmonella,93,0.922,0.9175,178,179,91.0,104.0,0.43,0.42
GRHPR,Hyperoxaluria primary 2,Q9UBQ7,P43063,candida,93,0.9156,0.9076,324,313,89.0,88.0,0.45,0.43
TLE6,Oocyte/zygote/embryo maturation arrest 15,Q9H808,F4I4K5,arabidopsis,93,0.9212,0.9299,568,577,96.0,137.0,0.22,0.22
TLE6,Oocyte/zygote/embryo maturation arrest 15,Q9H808,Q9VB46,fly,93,0.9212,0.916,568,575,96.0,98.0,0.22,0.22
TLE6,Oocyte/zygote/embryo maturation arrest 15,Q9H808,Q3UZD5,mouse,93,0.9212,0.9165,568,592,96.0,94.0,0.22,0.21
TACSTD2,"Corneal dystrophy, gelatinous drop-like",P09758,Q8K4H4,rat,93,0.9237,0.9154,319,325,92.0,72.0,0.32,0.31
CFI,"Hemolytic uremic syndrome, atypical, 3; Complement factor I deficiency; Macular degeneration, age-related, 13",P05156,Q21540,worm,93,0.9115,0.906,579,568,73.0,67.0,0.26,0.26
CFI,"Hemolytic uremic syndrome, atypical, 3; Complement factor I deficiency; Macular degeneration, age-related, 13",P05156,Q08023,yeast,93,0.9115,0.9052,579,579,73.0,54.0,0.26,0.29
ILDR1,"Deafness, autosomal recessive, 42",Q86SU0,Q38J84,chimp,93,0.912,0.9091,542,547,70.0,80.0,0.18,0.19
ELFN1,Dursun-Ozgul neurodevelopmental syndrome,P0C7U0,Q7M3M8,fly,93,0.921,0.923,824,789,94.0,119.0,0.28,0.27
COX11,"Mitochondrial complex IV deficiency, nuclear type 23",Q9Y6N1,A2VDN0,cow,93,0.9286,0.9235,272,267,72.0,89.0,0.27,0.28
TSHB,"Hypothyroidism, congenital, non-goitrous, 4",P01222,A2VB90,honeybee,93,0.9304,0.9351,134,141,66.0,49.0,0.25,0.23
MAG,"Spastic paraplegia 75, autosomal recessive",P20916,P70412,mouse,93,0.9239,0.928,622,603,70.0,60.0,0.14,0.16
MAG,"Spastic paraplegia 75, autosomal recessive",P20916,Q62005,mouse,93,0.9239,0.9222,622,619,70.0,68.0,0.14,0.16
CSF2RA,Pulmonary surfactant metabolism dysfunction 4,P15509,Q05204,cow,93,0.9137,0.9212,396,405,66.0,53.0,0.18,0.17
CD70,Lymphoproliferative syndrome 3,P32970,P14630,rat,93,0.9343,0.9256,189,186,63.0,85.0,0.3,0.31
GMPPB,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A14; Muscular dystrophy-dystroglycanopathy,Q9Y5P6,Q9LZK5,arabidopsis,93,0.9135,0.9048,356,342,43.0,57.0,0.3,0.32
ISG15,"Immunodeficiency 38, with basal ganglia calcification",P05161,P01592,mouse,93,0.9333,0.9326,161,155,69.0,49.0,0.27,0.28
LFNG,"Spondylocostal dysostosis 3, autosomal recessive",Q8NES3,Q66GS2,arabidopsis,93,0.9213,0.9186,375,367,52.0,45.0,0.42,0.42
RSPO4,"Nail disorder, non-syndromic congenital, 4",Q2I0M5,Q8HZD9,chimp,93,0.9234,0.9228,230,228,44.0,52.0,0.2,0.19
CLEC7A,"Candidiasis, familial, 4",Q9BXN2,P18280,rat,93,0.9188,0.918,243,254,38.0,54.0,0.29,0.28
ADAM22,Developmental and epileptic encephalopathy 61,Q9P0K1,O24585,maize,92,0.95,0.9463,902,897,471.0,333.0,0.24,0.29
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,P08641,chicken,92,0.9236,0.9257,934,883,262.0,316.0,0.18,0.17
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,Q28060,cow,92,0.9236,0.9415,934,892,262.0,231.0,0.18,0.18
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,P39038,mouse,92,0.9236,0.918,934,909,262.0,180.0,0.18,0.18
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,P55850,mouse,92,0.9236,0.9299,934,892,262.0,428.0,0.18,0.18
PCDHGC4,Neurodevelopmental disorder with poor growth and skeletal anomalies,Q9Y5F7,Q9Z0M3,mouse,92,0.9236,0.9224,934,797,262.0,202.0,0.18,0.19
TBXT,Neural tube defects; Chordoma; Sacral agenesis with vertebral anomalies,O15178,B1B534,rice,92,0.9622,0.9597,431,471,278.0,302.0,0.19,0.17
CNNM4,Jalili syndrome,Q6P4Q7,P77455,ecoli,92,0.9384,0.9357,771,677,258.0,281.0,0.43,0.44
DGKE,"Nephrotic syndrome 7; Hemolytic uremic syndrome, atypical, 7",P52429,A0A1D8PKB4,candida,92,0.9347,0.9376,563,491,296.0,215.0,0.4,0.42
DGKE,"Nephrotic syndrome 7; Hemolytic uremic syndrome, atypical, 7",P52429,Q6Y9P5,rice,92,0.9347,0.942,563,591,296.0,359.0,0.4,0.44
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,Q9ESL0,mouse,92,0.9375,0.9222,528,516,265.0,205.0,0.27,0.29
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,A0SQM0,worm,92,0.9375,0.9355,528,560,265.0,255.0,0.27,0.29
MBD5,"Intellectual developmental disorder, autosomal dominant 1",Q9P267,P21519,fly,92,0.9405,0.9361,1490,1590,258.0,235.0,0.13,0.14
MBD5,"Intellectual developmental disorder, autosomal dominant 1",Q9P267,Q9JIS1,rat,92,0.9405,0.925,1490,1551,258.0,340.0,0.13,0.13
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,Q43127,arabidopsis,92,0.9393,0.9433,440,426,242.0,177.0,0.36,0.35
CCM2,Cerebral cavernous malformations 2,Q9BSQ5,Q7CR08,salmonella,92,0.9393,0.9341,440,449,242.0,198.0,0.36,0.4
BUD13,Achalasia-progeroid syndrome,Q9BRD0,Q12310,yeast,92,0.9195,0.9128,615,695,193.0,187.0,0.25,0.26
HEPHL1,"Abnormal hair, joint laxity, and developmental delay",Q6MZM0,P53751,yeast,92,0.9417,0.9342,1155,1112,183.0,181.0,0.23,0.2
GOT2,Developmental and epileptic encephalopathy 82,P00505,Q9FMX6,arabidopsis,92,0.9157,0.9134,426,461,213.0,242.0,0.5,0.49
GOT2,Developmental and epileptic encephalopathy 82,P00505,Q9SNB1,arabidopsis,92,0.9157,0.9058,426,447,213.0,161.0,0.5,0.53
GOT2,Developmental and epileptic encephalopathy 82,P00505,P34690,worm,92,0.9157,0.9068,426,444,213.0,188.0,0.5,0.53
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,O89103,mouse,92,0.9363,0.9416,648,640,202.0,155.0,0.16,0.2
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,Q8JZM4,mouse,92,0.9363,0.9371,648,733,202.0,223.0,0.16,0.17
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,B0BNK7,rat,92,0.9363,0.9393,648,622,202.0,120.0,0.16,0.18
SQSTM1,"Paget disease of bone 3; Frontotemporal dementia and/or amyotrophic lateral sclerosis 3; Neurodegeneration with ataxia, ",Q13501,Q08DH3,cow,92,0.9421,0.9416,436,449,278.0,256.0,0.25,0.23
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,Q9JJP6,rat,92,0.9225,0.9353,688,676,208.0,233.0,0.24,0.22
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,B6ZK77,zebrafish,92,0.9225,0.9158,688,696,208.0,131.0,0.24,0.25
ACO2,Infantile cerebellar-retinal degeneration; Optic atrophy 9,Q99798,Q95LA9,cow,92,0.9196,0.9216,776,780,248.0,128.0,0.4,0.4
JPH3,Huntington disease-like 2,Q8WXH2,Q8BT18,mouse,92,0.9294,0.9373,744,771,216.0,275.0,0.17,0.13
ASXL2,Shashi-Pena syndrome,Q76L83,Q5ZM88,chicken,92,0.9274,0.9373,1431,1408,260.0,369.0,0.16,0.16
ASXL2,Shashi-Pena syndrome,Q76L83,Q6P4S6,mouse,92,0.9274,0.9206,1431,1365,260.0,275.0,0.16,0.2
ASXL2,Shashi-Pena syndrome,Q76L83,Q8BZ32,mouse,92,0.9274,0.9208,1431,1366,260.0,164.0,0.16,0.15
CBLIF,Hereditary intrinsic factor deficiency,P27352,Q9ZUY6,arabidopsis,92,0.9201,0.9122,413,385,217.0,167.0,0.5,0.49
MPEG1,Immunodeficiency 77,Q2M385,O31488,bacillus,92,0.9321,0.9264,712,699,172.0,124.0,0.33,0.29
MPEG1,Immunodeficiency 77,Q2M385,O42937,fission_yeast,92,0.9321,0.9278,712,792,172.0,166.0,0.33,0.34
MRTFA,Immunodeficiency 66,Q969V6,Q0P678,mouse,92,0.9246,0.9182,927,944,202.0,199.0,0.24,0.19
HFE,Hemochromatosis 1,Q30201,P04970,worm,92,0.9481,0.9447,344,337,186.0,196.0,0.44,0.39
CORIN,"Pre-eclampsia/eclampsia 5; Cardiomyopathy, familial hypertrophic, 30, atrial",Q9Y5Q5,P39083,yeast,92,0.9201,0.9132,1038,1003,171.0,159.0,0.28,0.27
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,O49505,arabidopsis,92,0.914,0.9126,662,579,160.0,114.0,0.22,0.22
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,Q8H1H9,arabidopsis,92,0.914,0.9052,662,708,160.0,227.0,0.22,0.24
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,Q62178,mouse,92,0.914,0.9083,662,756,160.0,177.0,0.22,0.21
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,Q3B7D3,rat,92,0.914,0.917,662,696,160.0,98.0,0.22,0.22
SEMA7A,"Cholestasis, progressive familial intrahepatic, 11",O75326,Q5NB85,rice,92,0.914,0.9201,662,695,160.0,128.0,0.22,0.24
EPOR,"Erythrocytosis, familial, 1",P19235,Q7YRJ7,dog,92,0.9216,0.9131,504,509,153.0,156.0,0.15,0.18
EPOR,"Erythrocytosis, familial, 1",P19235,P09027,mouse,92,0.9216,0.9285,504,429,153.0,156.0,0.15,0.13
EPOR,"Erythrocytosis, familial, 1",P19235,Q9JHX3,mouse,92,0.9216,0.9382,504,525,153.0,127.0,0.15,0.17
EPOR,"Erythrocytosis, familial, 1",P19235,Q20870,worm,92,0.9216,0.903,504,495,153.0,121.0,0.15,0.16
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,Q90867,chicken,92,0.9249,0.9284,627,630,173.0,219.0,0.26,0.27
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,P9WI37,tuberculosis,92,0.9249,0.9348,627,641,173.0,128.0,0.26,0.25
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,Q9LQE3,arabidopsis,92,0.923,0.9302,538,589,186.0,245.0,0.21,0.23
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,O94411,fission_yeast,92,0.923,0.9155,538,505,186.0,134.0,0.21,0.22
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,D0QMC3,mouse,92,0.923,0.913,538,534,186.0,134.0,0.21,0.21
SUN5,Spermatogenic failure 16,Q8TC36,Q8R1R3,mouse,92,0.9327,0.9264,375,369,205.0,151.0,0.37,0.41
SUN5,Spermatogenic failure 16,Q8TC36,Q17440,worm,92,0.9327,0.9337,375,371,205.0,140.0,0.37,0.38
LPL,"Hyperlipoproteinemia 1; Hyperlipidemia, familial combined, 3",P06858,P25819,arabidopsis,92,0.929,0.9204,471,488,175.0,156.0,0.38,0.4
