uid,gini,k_mean,k_max,top1_res,top1_k2,concentration_ratio,hotspot_fraction,n,f_alpha,f_beta
P31315,0.9384,98.0,13621.9,197,13621.9,138.999,0.5409,257,0.18,0.54
Q9Z0S2,0.9241,53.5,7374.5,190,7374.5,137.8411,0.3429,402,0.24,0.48
P35951,0.9373,25.1,3447.6,809,3447.6,137.3546,0.1601,858,0.22,0.55
Q9D4J7,0.9248,43.5,5957.9,350,5957.9,136.9632,0.3805,360,0.31,0.45
B6A8R8,0.9332,116.9,15949.4,263,15949.4,136.4363,0.4804,284,0.23,0.64
Q3U2E2,0.9216,56.6,7710.8,393,7710.8,136.2332,0.2187,623,0.22,0.58
Q8VE10,0.9272,123.0,16754.7,30,16754.7,136.2171,0.5846,233,0.47,0.37
P31316,0.9274,54.5,7422.7,254,7422.7,136.1963,0.4525,301,0.14,0.51
D3YWQ9,0.9203,907.7,123463.9,9,123463.9,136.0184,0.7908,172,0.8,0.08
Q9CSV6,0.9303,915.2,124313.8,117,124313.8,135.8324,0.653,208,0.7,0.16
O54967,0.922,48.0,6486.2,340,6486.2,135.1292,0.1286,1051,0.28,0.5
P56671,0.9618,133.5,17997.3,443,17997.3,134.8112,0.285,473,0.26,0.52
P10761,0.939,52.3,7041.2,398,7041.2,134.631,0.3205,420,0.17,0.64
Q8R1B0,0.9401,43.6,5848.9,206,5848.9,134.1491,0.3321,404,0.14,0.6
Q9Z1N7,0.954,111.0,14889.5,347,14889.5,134.1396,0.2378,564,0.27,0.44
Q78JW9,0.9308,36.2,4849.1,170,4849.1,133.953,0.368,364,0.23,0.53
Q7TSY6,0.93,60.0,8019.8,243,8019.8,133.6633,0.2773,482,0.26,0.5
P26612,0.9377,73.8,9841.7,88,9841.7,133.3564,0.2716,491,0.36,0.48
Q3UZW7,0.923,148.9,19838.9,47,19838.9,133.2364,0.4025,331,0.49,0.4
Q9D0S4,0.9247,39.2,5215.8,255,5215.8,133.0561,0.4735,281,0.28,0.58
Q99PI8,0.9438,20.1,2659.6,13,2659.6,132.3184,0.2821,469,0.18,0.52
Q9R0S2,0.9309,55.0,7262.9,589,7262.9,132.0527,0.2151,614,0.29,0.53
Q9JMB7,0.9277,78.9,10371.6,570,10371.6,131.4525,0.1532,858,0.35,0.51
P16525,0.9302,218.9,28483.7,123,28483.7,130.122,0.4266,305,0.45,0.48
Q99LE3,0.9235,161.3,20967.8,224,20967.8,129.9926,0.4319,301,0.34,0.43
Q8C031,0.9326,36.1,4684.1,540,4684.1,129.7535,0.204,636,0.22,0.54
Q8CB67,0.9456,102.8,13320.0,48,13320.0,129.572,0.2705,479,0.21,0.54
Q7TSK3,0.9225,24.8,3211.1,750,3211.1,129.4798,0.1215,1066,0.13,0.68
Q3UQ41,0.9331,138.4,17897.0,30,17897.0,129.3136,0.3359,385,0.33,0.53
P50427,0.9411,119.5,15389.8,208,15389.8,128.7849,0.2077,620,0.39,0.43
Q99N69,0.9355,75.4,9704.6,134,9704.6,128.7082,0.3369,382,0.29,0.51
P18471,0.9339,57.5,7374.5,7,7374.5,128.2522,0.3934,326,0.35,0.52
P75809,0.9338,112.9,14386.0,27,14386.0,127.4225,0.4772,267,0.44,0.42
P45761,0.9371,462.4,58904.7,45,58904.7,127.3891,0.667,191,0.39,0.5
Q8CH77,0.9215,45.1,5740.0,1157,5740.0,127.2727,0.068,1871,0.23,0.4
Q6P1C6,0.9318,24.0,3053.0,815,3053.0,127.2083,0.1143,1113,0.15,0.6
Q9JHX3,0.9382,63.9,8119.2,244,8119.2,127.061,0.242,525,0.17,0.64
Q8VD31,0.9213,60.4,7671.8,422,7671.8,127.0166,0.2842,447,0.17,0.7
Q810B7,0.9417,41.0,5192.2,686,5192.2,126.639,0.1329,953,0.23,0.5
A0A286YEC0,0.9308,92.3,11606.0,673,11606.0,125.7421,0.1809,695,0.31,0.53
P53784,0.9365,53.0,6650.7,169,6650.7,125.4849,0.3382,371,0.23,0.44
Q9DC11,0.9286,68.6,8593.2,475,8593.2,125.2653,0.2381,526,0.25,0.58
P0ABX8,0.956,760.9,95025.0,31,95025.0,124.885,0.8326,150,0.56,0.39
Q8VCZ8,0.9305,51.8,6460.9,179,6460.9,124.7278,0.413,302,0.31,0.57
O09113,0.9247,57.9,7194.1,115,7194.1,124.2504,0.3871,321,0.25,0.39
O54927,0.9529,49.1,6086.4,68,6086.4,123.9593,0.2973,417,0.21,0.6
Q9CY58,0.9242,24.7,3060.2,32,3060.2,123.8947,0.3074,403,0.15,0.38
O88935,0.9238,50.8,6274.8,404,6274.8,123.5197,0.176,702,0.19,0.58
P0A917,0.9306,96.8,11934.4,7,11934.4,123.2893,0.7383,167,0.14,0.77
A7M7C7,0.9215,35.8,4387.9,970,4387.9,122.567,0.1221,1004,0.16,0.51
A0A087WRI3,0.9319,206.2,25201.4,206,25201.4,122.2182,0.4381,279,0.43,0.47
P77509,0.9254,133.6,16290.7,191,16290.7,121.9364,0.2444,499,0.41,0.43
P01900,0.9228,138.8,16884.4,11,16884.4,121.6455,0.337,361,0.37,0.49
Q8CIN6,0.9356,92.6,11162.4,183,11162.4,120.5443,0.2615,461,0.3,0.48
A2AWT3,0.9255,84.8,10219.6,339,10219.6,120.5142,0.3514,343,0.32,0.37
Q3TWF6,0.9335,72.8,8769.8,44,8769.8,120.4643,0.1845,653,0.29,0.54
Q9EPC2,0.9413,63.1,7569.0,202,7569.0,119.9525,0.4856,247,0.19,0.64
Q7TN84,0.946,51.1,6115.0,37,6115.0,119.6673,0.2172,551,0.17,0.59
Q9CQL2,0.9406,49.5,5905.0,193,5905.0,119.2929,0.299,399,0.1,0.51
Q8BGT1,0.9226,24.9,2968.8,539,2968.8,119.2289,0.1849,645,0.18,0.6
Q9QUK9,0.944,44.2,5264.9,173,5264.9,119.1154,0.4922,242,0.16,0.65
P42580,0.9202,65.7,7792.7,166,7792.7,118.6104,0.3941,301,0.17,0.57
P0AGK8,0.9509,404.2,47932.5,116,47932.5,118.5861,0.7505,158,0.53,0.28
Q8BH27,0.9644,74.4,8820.0,519,8820.0,118.5484,0.1989,596,0.14,0.57
Q8BH00,0.9234,108.7,12846.9,344,12846.9,118.1868,0.2447,483,0.48,0.41
P76053,0.937,151.2,17829.1,101,17829.1,117.9173,0.6444,183,0.45,0.43
Q5EBJ4,0.9325,80.8,9518.7,94,9518.7,117.8057,0.4253,277,0.19,0.53
P46938,0.9444,100.6,11793.5,306,11793.5,117.2316,0.2422,484,0.21,0.52
P29012,0.938,72.2,8441.4,18,8441.4,116.9169,0.3322,352,0.38,0.45
Q9CZQ9,0.9276,48.2,5595.4,125,5595.4,116.0871,0.3445,337,0.31,0.57
Q8C5T4,0.942,34.8,4037.9,225,4037.9,116.0316,0.4896,237,0.18,0.64
Q810C1,0.9301,30.8,3567.7,638,3567.7,115.8344,0.1674,692,0.26,0.48
P16678,0.9207,127.4,14665.8,154,14665.8,115.1162,0.4642,248,0.48,0.37
Q99KS6,0.9285,78.4,9023.0,52,9023.0,115.0893,0.3425,336,0.37,0.48
P97801,0.925,100.8,11530.9,191,11530.9,114.3938,0.4028,284,0.23,0.53
Q9D3R5,0.9296,107.2,12163.6,389,12163.6,113.4664,0.2747,413,0.29,0.58
Q80XD9,0.956,482.8,54389.1,49,54389.1,112.6535,0.5633,200,0.4,0.46
Q00609,0.9404,166.0,18651.7,263,18651.7,112.3596,0.3721,302,0.25,0.61
Q9JIQ8,0.9318,61.0,6851.6,89,6851.6,112.3213,0.2311,486,0.25,0.6
Q9Z0F0,0.9232,146.9,16421.4,359,16421.4,111.7862,0.3046,367,0.48,0.4
Q1HCM0,0.9292,72.3,8066.3,16,8066.3,111.5671,0.4629,241,0.27,0.54
P35456,0.9455,63.0,6994.1,10,6994.1,111.0175,0.3437,323,0.16,0.63
P35455,0.9647,405.6,44934.0,12,44934.0,110.784,0.6755,164,0.43,0.4
P0AAL3,0.9448,105.3,11614.9,27,11614.9,110.3029,0.4859,227,0.45,0.38
Q80W37,0.9262,68.4,7520.8,314,7520.8,109.9532,0.3106,354,0.34,0.49
Q6P8I6,0.9504,223.3,24509.8,107,24509.8,109.7618,0.405,271,0.26,0.58
P75863,0.9341,26.1,2861.4,157,2861.4,109.6322,0.3004,365,0.25,0.59
P15306,0.9459,69.7,7631.0,532,7631.0,109.4835,0.1911,573,0.22,0.6
Q9QYE5,0.9201,19.8,2158.3,1100,2158.3,109.0051,0.0877,1243,0.16,0.59
P77181,0.9535,89.8,9783.1,153,9783.1,108.9432,0.5674,192,0.17,0.69
Q61029,0.9383,49.4,5371.8,416,5371.8,108.7409,0.2427,448,0.22,0.46
P39382,0.959,127.1,13690.3,16,13690.3,107.7128,0.382,282,0.22,0.6
Q9CQC5,0.9527,48.6,5233.9,246,5233.9,107.6934,0.4308,250,0.17,0.58
P20334,0.9378,234.5,25246.7,195,25246.7,107.6618,0.4272,252,0.28,0.57
Q6PFE7,0.9312,58.9,6295.0,331,6295.0,106.8761,0.2904,368,0.21,0.55
Q2VLH6,0.9358,34.9,3724.2,1054,3724.2,106.7106,0.0955,1117,0.21,0.56
Q5U405,0.9278,36.7,3915.6,149,3915.6,106.6921,0.1979,539,0.23,0.59
Q9ESD1,0.9379,47.1,5024.6,19,5024.6,106.6794,0.3156,338,0.21,0.61
Q8BFZ8,0.9377,25.3,2691.8,141,2691.8,106.3953,0.7338,145,0.19,0.66
Q925F4,0.9305,51.3,5450.8,208,5450.8,106.2534,0.1986,535,0.22,0.56
Q46809,0.938,62.1,6596.2,34,6596.2,106.219,0.4215,252,0.36,0.49
Q9CZT5,0.942,56.2,5946.0,593,5946.0,105.8007,0.1581,669,0.22,0.56
P23683,0.9395,71.8,7565.9,262,7565.9,105.3747,0.2558,412,0.16,0.48
P46856,0.9552,221.2,23291.5,50,23291.5,105.2961,0.7858,134,0.51,0.4
Q9D6L8,0.962,57.0,5961.6,30,5961.6,104.5895,0.6662,157,0.29,0.53
Q9QYH9,0.9232,160.6,16790.8,56,16790.8,104.5504,0.4449,235,0.27,0.6
O35417,0.9319,158.6,16575.3,7,16575.3,104.5101,0.4283,244,0.43,0.32
Q8R5M8,0.9237,90.2,9384.4,400,9384.4,104.0399,0.2302,452,0.19,0.68
A0A1D9BZF0,0.9614,49.7,5169.6,385,5169.6,104.0161,0.2068,503,0.06,0.43
Q6NXH2,0.9271,104.8,10883.9,23,10883.9,103.854,0.2268,458,0.41,0.44
Q8R205,0.9215,75.5,7777.7,247,7777.7,103.0159,0.239,431,0.29,0.48
P29699,0.9297,94.4,9719.0,163,9719.0,102.9555,0.3019,341,0.25,0.64
Q62314,0.9375,38.2,3922.5,10,3922.5,102.6832,0.286,359,0.14,0.43
Q5M8S2,0.9446,57.9,5943.0,270,5943.0,102.6425,0.3311,310,0.2,0.62
Q80XU8,0.9357,38.2,3911.9,519,3911.9,102.4058,0.162,632,0.18,0.6
Q9CR86,0.9427,47.7,4864.8,57,4864.8,101.9874,0.7082,144,0.17,0.69
Q9D8V7,0.9236,173.9,17688.9,181,17688.9,101.7188,0.5411,188,0.47,0.45
P0A8K1,0.9322,86.5,8791.0,21,8791.0,101.6301,0.3196,318,0.31,0.54
Q91V08,0.9346,171.4,17411.2,52,17411.2,101.5823,0.5004,203,0.3,0.55
Q9JIK9,0.9267,79.3,8032.2,176,8032.2,101.2888,0.4733,214,0.36,0.5
Q3TNU4,0.924,32.3,3270.1,222,3270.1,101.2415,0.1746,580,0.13,0.54
Q9EQQ0,0.9255,52.4,5301.7,195,5301.7,101.1775,0.2139,473,0.26,0.57
Q8BFR6,0.9297,61.4,6207.0,141,6207.0,101.0912,0.3829,264,0.34,0.5
P15948,0.9325,27.3,2752.4,253,2752.4,100.8205,0.3954,255,0.18,0.67
P12281,0.9396,65.2,6566.8,236,6566.8,100.7178,0.2475,407,0.26,0.58
Q64237,0.9358,55.8,5618.5,25,5618.5,100.69,0.1629,618,0.23,0.67
Q810B9,0.9322,35.9,3604.7,659,3604.7,100.4095,0.1029,976,0.21,0.51
Q9Z1P5,0.9227,103.5,10371.8,226,10371.8,100.2106,0.3914,256,0.31,0.38
P10907,0.9242,64.7,6480.2,144,6480.2,100.1577,0.2845,352,0.36,0.47
O35182,0.9308,40.8,4073.1,163,4073.1,99.8309,0.2033,491,0.23,0.57
Q9D7L8,0.939,214.1,21311.3,227,21311.3,99.539,0.3873,257,0.23,0.66
P42914,0.9671,112.9,11227.5,8,11227.5,99.4464,0.4381,227,0.17,0.7
E9PUL5,0.9447,60.3,5993.6,337,5993.6,99.3964,0.2906,342,0.18,0.4
P39333,0.9296,145.4,14360.1,67,14360.1,98.7627,0.4239,233,0.53,0.36
Q8R2Q6,0.9256,48.9,4826.6,583,4826.6,98.7035,0.167,591,0.22,0.64
P04939,0.9351,96.0,9450.5,13,9450.5,98.4427,0.5469,180,0.29,0.54
O35906,0.932,35.3,3470.0,215,3470.0,98.3003,0.3738,263,0.17,0.61
Q62192,0.9449,41.7,4097.0,636,4097.0,98.2494,0.1495,657,0.28,0.45
E9PUN2,0.9482,61.5,6020.0,592,6020.0,97.8862,0.1492,656,0.11,0.63
Q9JLL3,0.9319,93.7,9152.2,183,9152.2,97.6756,0.2371,412,0.18,0.55
Q8VC60,0.9384,62.1,6061.7,105,6061.7,97.6119,0.152,642,0.3,0.52
Q8BGX3,0.9391,191.5,18681.7,331,18681.7,97.5546,0.2665,366,0.36,0.43
Q8VEE4,0.9211,36.9,3587.3,615,3587.3,97.2168,0.1571,619,0.24,0.6
Q8BKA3,0.921,15.9,1537.6,12,1537.6,96.7044,0.1601,604,0.05,0.52
Q9QZ39,0.9253,49.8,4812.5,16,4812.5,96.6365,0.1851,522,0.32,0.49
Q8R534,0.9268,82.1,7930.7,705,7930.7,96.5981,0.1204,802,0.27,0.5
Q08775,0.961,136.1,13121.1,146,13121.1,96.4078,0.1599,603,0.14,0.62
P17047,0.9571,160.6,15438.4,391,15438.4,96.1295,0.2339,411,0.15,0.72
Q9JHX2,0.9531,146.7,14083.4,166,14083.4,96.0014,0.2437,394,0.23,0.54
Q9DAK4,0.9359,81.0,7737.4,42,7737.4,95.5235,0.7463,128,0.19,0.67
Q8VDK1,0.924,77.6,7407.9,63,7407.9,95.4626,0.2993,319,0.34,0.54
O88839,0.933,95.8,9117.9,707,9117.9,95.1764,0.1107,860,0.26,0.58
P0C192,0.9266,41.7,3959.4,581,3959.4,94.9496,0.1347,705,0.21,0.53
Q8VD12,0.9206,38.1,3617.5,56,3617.5,94.9475,0.2486,382,0.23,0.46
Q3V3F6,0.9261,74.9,7109.7,22,7109.7,94.9226,0.4074,233,0.26,0.52
Q8BGD9,0.9259,25.6,2418.8,375,2418.8,94.4844,0.1557,607,0.15,0.48
Q9CQN7,0.9631,92.0,8648.7,89,8648.7,94.0076,0.7176,131,0.36,0.47
Q64299,0.9379,55.9,5240.9,15,5240.9,93.7549,0.2679,350,0.18,0.68
O09030,0.9274,68.5,6404.1,354,6404.1,93.4905,0.2226,420,0.17,0.68
A2A9I7,0.9282,124.3,11613.6,61,11613.6,93.432,0.2632,355,0.13,0.65
P30658,0.9406,48.4,4498.6,268,4498.6,92.9463,0.1805,515,0.12,0.58
H3BKT1,0.9631,101.6,9422.1,69,9422.1,92.7372,0.5124,181,0.17,0.59
Q9D1E6,0.9307,75.3,6952.7,145,6952.7,92.3333,0.3847,240,0.31,0.53
Q8BHM9,0.9348,93.9,8658.9,41,8658.9,92.2141,0.212,435,0.33,0.54
P47811,0.9229,108.8,10028.8,64,10028.8,92.1765,0.2589,356,0.47,0.4
Q9R1V7,0.9252,54.4,5011.6,800,5011.6,92.125,0.1117,825,0.25,0.56
P41272,0.9291,111.3,10239.4,191,10239.4,91.9982,0.374,246,0.23,0.61
Q810L3,0.9219,32.3,2961.7,609,2961.7,91.6935,0.1389,660,0.26,0.49
O70194,0.9253,99.0,9073.9,541,9073.9,91.6556,0.1685,544,0.4,0.47
P45757,0.9478,136.0,12459.0,22,12459.0,91.6103,0.3431,267,0.3,0.54
Q91Y20,0.9321,44.9,4111.0,716,4111.0,91.559,0.0972,942,0.15,0.68
P52800,0.9427,157.0,14370.8,249,14370.8,91.5338,0.2757,332,0.27,0.51
P76458,0.9207,35.9,3276.1,35,3276.1,91.2563,0.4225,216,0.36,0.47
Q9JIE3,0.9678,114.4,10413.5,6,10413.5,91.0271,0.7341,124,0.26,0.65
P14847,0.9219,35.3,3207.3,11,3207.3,90.8584,0.4111,221,0.14,0.71
Q9WVS0,0.9403,444.2,40358.6,10,40358.6,90.8568,0.4636,196,0.33,0.57
P0C673,0.9409,86.6,7789.9,261,7789.9,89.9527,0.2122,424,0.17,0.66
Q8BWL5,0.9202,26.4,2372.4,189,2372.4,89.8636,0.2105,427,0.15,0.58
Q9QUN7,0.9306,85.2,7650.7,598,7650.7,89.7969,0.1151,780,0.39,0.44
Q9WTR0,0.924,89.8,8062.3,578,8062.3,89.7806,0.1489,603,0.31,0.5
P37237,0.9539,126.1,11314.9,12,11314.9,89.7296,0.3399,264,0.24,0.59
O09108,0.9268,35.9,3221.0,8,3221.0,89.7214,0.6549,137,0.18,0.74
Q80SU3,0.9422,70.6,6312.5,56,6312.5,89.4122,0.2505,357,0.14,0.59
Q8K3Z9,0.932,16.7,1489.9,515,1489.9,89.2156,0.0746,1196,0.06,0.51
Q8BXR6,0.9278,24.8,2207.0,402,2207.0,88.9919,0.2018,441,0.19,0.61
Q8K410,0.9301,81.0,7204.3,702,7204.3,88.942,0.1186,750,0.29,0.51
Q3U1F9,0.9405,77.5,6883.0,12,6883.0,88.8129,0.209,425,0.15,0.49
Q9CWG1,0.9291,180.7,15981.1,236,15981.1,88.44,0.3524,251,0.38,0.43
Q8K341,0.9429,84.3,7449.4,39,7449.4,88.3677,0.2119,417,0.22,0.51
Q62179,0.9253,50.0,4412.7,11,4412.7,88.254,0.1078,819,0.25,0.61
Q9WTM3,0.9552,81.2,7164.4,12,7164.4,88.2315,0.0952,927,0.19,0.6
Q9DCH6,0.9394,57.9,5107.0,35,5107.0,88.2038,0.4028,219,0.18,0.58
Q6F5E0,0.9485,378.9,33404.8,274,33404.8,88.1626,0.3126,282,0.24,0.54
P14719,0.9253,93.7,8253.7,347,8253.7,88.0864,0.1565,563,0.29,0.57
Q03350,0.9229,24.1,2122.5,277,2122.5,88.0705,0.0754,1168,0.18,0.56
P0AC16,0.9595,218.3,19214.2,75,19214.2,88.0174,0.7459,118,0.39,0.48
P58044,0.9246,87.7,7688.2,179,7688.2,87.6648,0.3931,223,0.38,0.49
O35253,0.9314,57.0,4981.0,92,4981.0,87.386,0.2071,422,0.25,0.54
Q91YQ1,0.9279,181.3,15807.2,24,15807.2,87.1881,0.4359,200,0.43,0.46
Q8K1T0,0.9357,55.7,4852.8,53,4852.8,87.1239,0.194,449,0.28,0.53
O35453,0.9301,51.6,4495.3,54,4495.3,87.1182,0.2017,432,0.28,0.55
Q3TSG4,0.9357,142.3,12376.7,38,12376.7,86.9761,0.2224,391,0.3,0.5
Q9CPX6,0.9234,111.5,9615.7,12,9615.7,86.2395,0.2782,310,0.41,0.44
P47741,0.9293,57.4,4947.1,80,4947.1,86.1864,0.3216,268,0.22,0.63
Q8BUR3,0.9233,49.7,4276.8,35,4276.8,86.0523,0.139,619,0.24,0.48
Q6P539,0.9215,27.2,2321.6,272,2321.6,85.3529,0.153,558,0.11,0.6
Q62523,0.928,52.3,4460.0,150,4460.0,85.2772,0.1523,560,0.16,0.66
P06804,0.9289,96.0,8171.5,37,8171.5,85.1198,0.3685,231,0.24,0.62
Q5EE38,0.935,106.1,8985.3,403,8985.3,84.6871,0.2056,412,0.3,0.54
Q9EQG5,0.9335,118.7,10013.1,48,10013.1,84.3564,0.3361,251,0.28,0.4
Q9CWW6,0.9476,82.9,6992.0,56,6992.0,84.3426,0.6641,127,0.31,0.52
Q80ZD9,0.9268,49.1,4130.0,397,4130.0,84.1141,0.1633,515,0.27,0.5
Q8BLQ9,0.9251,73.3,6161.0,387,6161.0,84.0518,0.195,431,0.13,0.74
Q9CQ60,0.9201,80.7,6753.5,24,6753.5,83.6865,0.3308,253,0.45,0.43
P39377,0.9352,82.0,6758.6,116,6758.6,82.422,0.2135,386,0.36,0.45
Q62084,0.9408,192.1,15818.4,111,15818.4,82.3446,0.5758,143,0.38,0.48
Q9JK39,0.9502,84.2,6908.0,17,6908.0,82.0428,0.3027,271,0.17,0.7
Q9QXJ4,0.9212,176.2,14419.4,15,14419.4,81.8354,0.3424,239,0.37,0.48
Q9QWH1,0.9353,64.4,5267.0,92,5267.0,81.7857,0.0967,846,0.17,0.51
P0A763,0.9483,189.8,15498.5,46,15498.5,81.657,0.5875,139,0.47,0.38
Q60846,0.9205,78.5,6399.2,315,6399.2,81.5185,0.165,494,0.15,0.63
P01193,0.9269,79.7,6487.9,11,6487.9,81.404,0.3524,231,0.3,0.46
Q9QYZ9,0.9491,88.5,7194.4,6,7194.4,81.2927,0.2657,306,0.3,0.54
E9Q7T7,0.9321,17.3,1406.0,13,1406.0,81.2717,0.1092,744,0.24,0.51
O54965,0.9357,144.0,11693.2,16,11693.2,81.2028,0.2154,377,0.29,0.52
Q80ZQ0,0.9484,159.6,12953.5,111,12953.5,81.1623,0.6599,123,0.28,0.58
Q62086,0.9341,47.5,3851.8,11,3851.8,81.0905,0.2317,350,0.24,0.63
Q9CW42,0.9416,104.1,8429.6,35,8429.6,80.976,0.241,336,0.32,0.52
Q3UH99,0.952,145.3,11724.4,86,11724.4,80.691,0.1549,521,0.22,0.45
Q6P3A4,0.9256,75.0,6019.1,275,6019.1,80.2547,0.1943,413,0.14,0.64
Q9JKF6,0.9227,42.3,3390.2,376,3390.2,80.1466,0.1568,511,0.13,0.67
Q920N7,0.9454,108.8,8713.9,26,8713.9,80.091,0.1921,417,0.27,0.57
Q9Z0N2,0.9231,43.8,3495.1,235,3495.1,79.7968,0.1705,468,0.25,0.61
Q8C6Z1,0.9429,115.2,9188.0,8,9188.0,79.7569,0.2439,327,0.15,0.6
P0A9N8,0.951,89.1,7074.3,57,7074.3,79.3973,0.5293,150,0.4,0.45
Q99KW9,0.9247,40.0,3173.4,578,3173.4,79.335,0.1309,606,0.19,0.63
O70255,0.949,563.4,44613.6,155,44613.6,79.1864,0.3753,211,0.43,0.47
P76190,0.9303,50.6,4005.9,133,4005.9,79.168,0.2965,267,0.23,0.48
Q8C567,0.9272,253.1,19973.5,262,19973.5,78.9154,0.2458,321,0.33,0.56
P56380,0.9324,102.9,8049.6,123,8049.6,78.2274,0.547,143,0.33,0.57
Q9ET35,0.9226,106.9,8349.7,142,8349.7,78.1076,0.3188,245,0.31,0.47
P0AGD1,0.9647,57.2,4459.1,11,4459.1,77.9563,0.4613,169,0.12,0.68
Q8CCH2,0.9314,43.4,3383.1,17,3383.1,77.9516,0.2273,343,0.22,0.63
Q8CII0,0.9271,140.8,10944.8,141,10944.8,77.733,0.1619,480,0.34,0.41
Q6PGH4,0.9259,34.8,2696.6,203,2696.6,77.4885,0.1726,449,0.11,0.59
Q8BJN4,0.9207,96.5,7456.0,132,7456.0,77.2642,0.348,222,0.17,0.54
Q9WUH7,0.925,62.5,4822.0,676,4822.0,77.152,0.0926,833,0.22,0.6
P64554,0.9251,80.9,6185.9,107,6185.9,76.4635,0.3491,219,0.37,0.47
Q64735,0.9271,52.0,3975.0,418,3975.0,76.4423,0.1596,479,0.11,0.7
Q62255,0.9242,26.7,2038.7,219,2038.7,76.3558,0.058,1316,0.17,0.48
Q2WF71,0.9224,27.0,2056.9,551,2056.9,76.1815,0.1,762,0.15,0.61
Q2YFS2,0.9292,141.5,10750.5,202,10750.5,75.9753,0.3453,220,0.28,0.57
Q8CBD1,0.9217,26.4,2004.2,277,2004.2,75.9167,0.0656,1157,0.14,0.41
Q9QUL7,0.9345,65.9,4995.9,291,4995.9,75.8103,0.2469,307,0.22,0.61
P75977,0.9404,226.9,17190.3,46,17190.3,75.7616,0.7015,108,0.23,0.69
Q9D123,0.9274,308.7,23227.2,216,23227.2,75.242,0.3188,236,0.42,0.45
O08742,0.9232,45.6,3425.6,530,3425.6,75.1228,0.1334,563,0.33,0.45
P48540,0.9368,136.1,10221.0,8,10221.0,75.0992,0.3628,207,0.29,0.53
P00015,0.9503,189.7,14113.7,9,14113.7,74.4001,0.7366,101,0.5,0.36
Q99MB1,0.9288,37.8,2811.8,713,2811.8,74.3862,0.0826,901,0.34,0.43
Q8C4Q6,0.9267,121.8,9057.7,18,9057.7,74.3654,0.2471,301,0.34,0.54
P0C7L0,0.9356,202.9,15072.7,306,15072.7,74.2863,0.1544,481,0.06,0.76
Q9DA48,0.9221,92.1,6806.8,243,6806.8,73.9066,0.2455,301,0.22,0.52
O54907,0.9356,138.3,10211.2,39,10211.2,73.8337,0.3014,245,0.25,0.6
Q8VCP9,0.9213,49.5,3645.1,398,3645.1,73.6384,0.1618,455,0.16,0.62
Q80ZD8,0.9382,75.7,5561.4,11,5561.4,73.4663,0.1505,488,0.25,0.51
Q8R0A5,0.9415,45.4,3317.7,151,3317.7,73.0771,0.3728,196,0.18,0.52
O55070,0.9304,134.5,9764.2,293,9764.2,72.5963,0.2372,306,0.44,0.45
Q80X72,0.9327,39.5,2865.3,554,2865.3,72.5392,0.1262,575,0.27,0.47
Q2QKR2,0.9389,114.4,8178.5,69,8178.5,71.4904,0.5812,123,0.26,0.46
P01750,0.9488,92.4,6605.1,8,6605.1,71.4838,0.6326,113,0.1,0.78
P43025,0.9632,932.4,66643.6,38,66643.6,71.4753,0.361,198,0.49,0.36
P06327,0.9259,39.5,2819.6,9,2819.6,71.3823,0.6317,113,0.11,0.78
O88878,0.9339,46.6,3323.1,40,3323.1,71.3112,0.3412,209,0.2,0.55
Q62170,0.9265,42.8,3033.5,311,3033.5,70.8762,0.1803,393,0.12,0.53
Q75VT8,0.9423,319.8,22597.0,145,22597.0,70.6598,0.3241,218,0.23,0.59
Q9JJN1,0.9343,81.1,5727.6,19,5727.6,70.6239,0.3428,206,0.26,0.56
P17125,0.9241,93.6,6605.5,10,6605.5,70.5716,0.1738,406,0.36,0.52
Q810Z1,0.9222,84.5,5962.8,12,5962.8,70.5657,0.3964,178,0.35,0.51
Q9DAN8,0.9256,186.8,13172.9,6,13172.9,70.5187,0.5687,124,0.37,0.54
Q91Y74,0.9255,128.6,9059.9,317,9059.9,70.4502,0.2141,329,0.5,0.38
Q9R0G6,0.934,25.0,1759.8,39,1759.8,70.392,0.0937,751,0.24,0.52
Q8BHJ5,0.9289,79.9,5617.1,113,5617.1,70.3016,0.1378,510,0.28,0.55
P31996,0.9263,68.4,4806.4,308,4806.4,70.269,0.2182,322,0.12,0.72
Q14A28,0.9674,242.2,17012.0,6,17012.0,70.2395,0.6954,101,0.25,0.63
Q9WV66,0.9213,37.8,2635.4,645,2635.4,69.7196,0.1012,689,0.18,0.52
O88792,0.9385,94.7,6587.2,250,6587.2,69.5586,0.235,296,0.19,0.66
A2A7Y5,0.9347,75.7,5264.1,23,5264.1,69.539,0.1816,383,0.23,0.54
Q8QZV2,0.9351,87.7,6094.6,20,6094.6,69.4937,0.2388,291,0.22,0.57
P97497,0.9338,38.5,2667.7,13,2667.7,69.2909,0.1737,399,0.16,0.65
Q63961,0.9268,63.7,4404.5,376,4404.5,69.1444,0.1065,649,0.17,0.69
Q7TPG7,0.9512,380.6,26279.7,14,26279.7,69.0481,0.5437,127,0.29,0.53
P97769,0.9231,82.7,5692.4,95,5692.4,68.8319,0.3459,199,0.22,0.49
P14753,0.9271,79.6,5464.3,265,5464.3,68.647,0.1365,503,0.15,0.63
P14094,0.9229,58.6,4007.7,50,4007.7,68.3908,0.228,300,0.34,0.5
Q9JL18,0.9318,54.4,3708.5,476,3708.5,68.171,0.1337,510,0.25,0.56
