label,pdb_id,chain,n_residues,n_valid,gini,kappa2_mean,kappa2_median,kappa2_max,kappa2_std,alpha,beta,loop,frac_alpha,frac_beta,kappa2_alpha,kappa2_beta,kappa2_loop,ligand,ligand_atoms,top1_res,top1_kappa2
AF-G3UW99-F1-model_v6,AF,A,86,82,0.918,72.5,1.8,1644.6,264.9,21,29,32,0.26,0.35,273.8,2.7,3.7,NONE,0,48,1644.6
AF-G3UWD5-F1-model_v6,AF,A,69,65,0.7842,558.7,76.5,9643.5,1381.0,40,12,13,0.62,0.18,891.9,11.3,38.6,NONE,0,16,9643.5
AF-G3UXB3-F1-model_v6,AF,A,440,436,0.9044,47.7,2.4,6575.0,329.5,71,260,105,0.16,0.6,113.4,48.5,1.5,NONE,0,18,6575.0
AF-G3UYQ4-F1-model_v6,AF,A,1894,1890,0.8129,47.7,5.0,2356.6,128.9,995,609,286,0.53,0.32,86.6,6.0,1.6,NONE,0,186,2356.6
AF-G3UYX5-F1-model_v6,AF,A,1258,1254,0.8098,62.4,5.1,2450.1,171.3,663,381,210,0.53,0.3,110.9,9.4,5.6,NONE,0,186,2450.1
AF-G3UZ78-F1-model_v6,AF,A,1657,1653,0.875,72.0,3.8,4949.3,286.6,498,894,261,0.3,0.54,209.6,13.5,9.9,NONE,0,1569,4949.3
AF-G3X8R9-F1-model_v6,AF,A,209,205,0.7795,123.3,5.2,1189.4,226.7,90,90,25,0.44,0.44,272.2,8.4,0.7,NONE,0,164,1189.4
AF-G3X8U3-F1-model_v6,AF,A,338,334,0.8048,72.7,5.7,1891.7,182.5,200,92,42,0.6,0.28,117.9,7.5,0.8,NONE,0,33,1891.7
AF-G3X8Y1-F1-model_v6,AF,A,545,541,0.8229,44.9,3.0,1980.2,136.7,206,235,100,0.38,0.43,109.4,7.0,1.1,NONE,0,255,1980.2
AF-G3X912-F1-model_v6,AF,A,497,493,0.9082,41.1,1.9,2885.8,223.4,134,261,98,0.27,0.53,137.5,6.5,1.2,NONE,0,8,2885.8
AF-G3X939-F1-model_v6,AF,A,829,825,0.8112,139.7,17.7,14445.8,579.6,520,227,78,0.63,0.28,213.4,16.9,5.7,NONE,0,539,14445.8
AF-G3X943-F1-model_v6,AF,A,309,305,0.7246,204.9,65.3,4112.8,412.0,240,40,25,0.79,0.13,258.9,7.2,3.1,NONE,0,264,4112.8
AF-G3X982-F1-model_v6,AF,A,1335,1331,0.8731,54.8,2.0,9113.9,300.0,555,596,180,0.42,0.45,120.1,10.2,0.9,NONE,0,931,9113.9
AF-G3X987-F1-model_v6,AF,A,291,287,0.7855,136.4,14.3,3046.7,328.1,169,85,33,0.59,0.3,227.7,7.2,1.7,NONE,0,115,3046.7
AF-G3X992-F1-model_v6,AF,A,371,367,0.8483,38.8,3.3,1645.4,130.0,143,172,52,0.39,0.47,93.0,4.8,2.5,NONE,0,122,1645.4
AF-G3X9C2-F1-model_v6,AF,A,266,262,0.892,35.1,1.5,1904.7,149.8,44,167,51,0.17,0.64,78.3,34.0,1.2,NONE,0,34,1904.7
AF-G3X9G7-F1-model_v6,AF,A,402,398,0.8408,42.5,2.3,2521.2,150.9,192,138,68,0.48,0.35,81.8,7.8,2.2,NONE,0,18,2521.2
AF-G3X9J0-F1-model_v6,AF,A,1776,1772,0.8994,22.4,1.2,3292.0,125.0,339,902,531,0.19,0.51,94.1,5.6,5.1,NONE,0,604,3292.0
AF-G3X9K3-F1-model_v6,AF,A,1846,1842,0.7877,113.8,11.8,6862.7,322.4,1196,430,216,0.65,0.23,172.6,5.7,3.4,NONE,0,1749,6862.7
AF-G3X9P6-F1-model_v6,AF,A,291,287,0.8738,59.3,2.2,2425.3,210.6,59,163,65,0.21,0.57,243.9,15.3,2.2,NONE,0,108,2425.3
AF-G3X9R7-F1-model_v6,AF,A,316,312,0.9018,156.8,2.7,8503.8,652.2,119,143,50,0.38,0.46,402.9,6.6,0.8,NONE,0,35,8503.8
AF-G3X9U1-F1-model_v6,AF,A,347,343,0.8088,23.0,3.2,545.4,58.3,61,219,63,0.18,0.64,87.8,10.6,3.2,NONE,0,160,545.4
AF-G3X9X1-F1-model_v6,AF,A,623,619,0.873,47.3,2.9,2853.9,192.0,208,322,89,0.34,0.52,124.3,10.5,0.6,NONE,0,151,2853.9
AF-G3X9Z4-F1-model_v6,AF,A,1553,1549,0.8911,24.3,1.1,3315.8,122.2,331,643,575,0.21,0.42,100.5,4.3,2.9,NONE,0,1359,3315.8
AF-G3XA57-F1-model_v6,AF,A,512,508,0.9119,25.9,1.4,4353.2,205.5,86,294,128,0.17,0.58,129.7,5.9,1.9,NONE,0,457,4353.2
AF-G3XA59-F1-model_v6,AF,A,663,659,0.949,63.0,0.8,11527.1,494.8,186,318,155,0.28,0.48,213.0,5.0,2.0,NONE,0,642,11527.1
AF-G5E829-F1-model_v6,AF,A,1220,1216,0.8443,76.7,4.4,5527.9,260.8,631,408,177,0.52,0.34,143.2,5.2,4.4,NONE,0,290,5527.9
AF-G5E845-F1-model_v6,AF,A,292,288,0.7376,202.7,41.8,2633.6,366.2,220,39,29,0.76,0.14,264.7,2.7,1.3,NONE,0,137,2633.6
AF-G5E861-F1-model_v6,AF,A,688,684,0.6649,223.0,99.2,12868.6,597.4,607,27,50,0.89,0.04,250.8,3.0,4.7,NONE,0,66,12868.6
AF-G5E869-F1-model_v6,AF,A,1843,1839,0.8576,14.3,1.1,1549.4,64.1,547,790,502,0.3,0.43,40.5,4.0,2.1,NONE,0,1433,1549.4
AF-G5E870-F1-model_v6,AF,A,2025,2021,0.8597,85.3,3.6,4551.2,278.7,797,491,733,0.39,0.24,201.9,6.6,11.2,NONE,0,1513,4551.2
AF-G5E872-F1-model_v6,AF,A,720,716,0.8459,53.6,3.8,2940.7,203.4,310,311,95,0.43,0.43,110.2,13.0,1.8,NONE,0,396,2940.7
AF-G5E897-F1-model_v6,AF,A,503,499,0.8826,40.3,2.1,2804.8,169.7,183,254,62,0.37,0.51,96.7,8.7,3.2,NONE,0,147,2804.8
AF-G5E8A8-F1-model_v6,AF,A,557,553,0.7649,231.7,52.4,10870.2,637.2,356,113,84,0.64,0.2,357.8,5.3,1.7,NONE,0,223,10870.2
AF-G5E8B9-F1-model_v6,AF,A,1050,1046,0.8409,19.8,1.7,893.0,67.4,366,435,245,0.35,0.42,48.3,5.8,2.0,NONE,0,542,893.0
AF-G5E8D7-F1-model_v6,AF,A,195,191,0.8786,31.9,2.1,948.8,113.2,38,119,34,0.2,0.62,112.8,13.8,4.7,NONE,0,6,948.8
AF-G5E8F4-F1-model_v6,AF,A,590,586,0.8818,68.7,1.9,8544.7,383.7,231,279,76,0.39,0.48,165.5,7.0,1.0,NONE,0,528,8544.7
AF-G5E8G2-F1-model_v6,AF,A,545,541,0.876,21.8,1.6,1239.4,94.2,141,271,129,0.26,0.5,68.9,5.9,3.6,NONE,0,375,1239.4
AF-G5E8I7-F1-model_v6,AF,A,545,541,0.8897,32.3,1.4,1705.8,122.2,138,286,117,0.26,0.53,107.7,8.2,2.2,NONE,0,68,1705.8
AF-G5E8K5-F1-model_v6,AF,A,1961,1957,0.8685,29.6,1.5,2667.6,113.1,644,904,409,0.33,0.46,82.5,4.8,1.1,NONE,0,763,2667.6
AF-G5E8K6-F1-model_v6,AF,A,468,464,0.7014,126.0,47.0,2164.3,233.4,378,46,40,0.81,0.1,152.7,10.2,6.4,NONE,0,345,2164.3
AF-G5E8P0-F1-model_v6,AF,A,1769,1765,0.8221,52.0,5.1,1904.4,149.6,835,561,369,0.47,0.32,103.7,7.8,2.0,NONE,0,691,1904.4
AF-G5E8P1-F1-model_v6,AF,A,1058,1054,0.8651,43.4,3.0,7648.1,257.4,433,465,156,0.41,0.44,98.5,6.1,1.7,NONE,0,568,7648.1
AF-G5E8Q8-F1-model_v6,AF,A,1348,1344,0.8574,65.8,4.8,5445.4,236.6,485,692,167,0.36,0.51,163.8,12.5,2.2,NONE,0,1108,5445.4
AF-G5E8V9-F1-model_v6,AF,A,373,369,0.7583,178.6,41.2,2896.3,368.4,226,91,52,0.61,0.25,288.6,6.4,1.9,NONE,0,182,2896.3
AF-G5E8Z2-F1-model_v6,AF,A,850,846,0.8256,24.9,2.9,986.4,73.0,234,428,184,0.28,0.51,75.6,7.1,1.5,NONE,0,779,986.4
AF-H3BJG9-F1-model_v6,AF,A,140,136,0.842,33.0,3.8,1139.5,112.9,34,80,22,0.25,0.59,87.7,17.4,5.4,NONE,0,9,1139.5
AF-H3BKT1-F1-model_v6,AF,A,185,181,0.9631,101.6,1.6,9422.1,762.8,31,107,43,0.17,0.59,577.9,3.7,1.8,NONE,0,69,9422.1
AF-I7HJS4-F1-model_v6,AF,A,458,454,0.8782,21.7,1.2,959.4,78.5,88,238,128,0.19,0.52,95.9,4.7,2.1,NONE,0,427,959.4
AF-J3KML8-F1-model_v6,AF,A,504,500,0.9155,48.3,1.8,1738.6,191.8,58,312,130,0.12,0.62,358.4,10.2,1.6,NONE,0,408,1738.6
AF-J3QK54-F1-model_v6,AF,A,644,640,0.8547,44.3,2.7,1651.2,133.5,168,339,133,0.26,0.53,130.3,18.4,1.6,NONE,0,56,1651.2
AF-J3QM76-F1-model_v6,AF,A,67,63,0.6117,126.6,81.3,628.0,151.3,30,29,4,0.48,0.46,233.0,31.9,13.9,NONE,0,34,628.0
AF-J3QMI4-F1-model_v6,AF,A,347,343,0.729,159.8,33.0,3412.7,314.3,243,65,35,0.71,0.19,223.4,6.5,3.1,NONE,0,193,3412.7
AF-J3QMK6-F1-model_v6,AF,A,479,475,0.8464,64.9,4.1,5679.9,288.3,240,175,60,0.51,0.37,122.6,6.7,4.0,NONE,0,27,5679.9
AF-J3QMY9-F1-model_v6,AF,A,579,575,0.887,65.7,2.9,6356.4,320.9,202,275,98,0.35,0.48,177.9,5.8,2.1,NONE,0,366,6356.4
AF-J3QNX5-F1-model_v6,AF,A,399,395,0.9032,43.6,2.4,2069.6,193.9,83,224,88,0.21,0.57,188.2,6.1,2.7,NONE,0,146,2069.6
AF-J3QPC3-F1-model_v6,AF,A,361,357,0.8954,79.3,3.6,4792.0,343.3,99,201,57,0.28,0.56,157.4,61.5,6.5,NONE,0,65,4792.0
AF-J3QPP8-F1-model_v6,AF,A,127,123,0.8706,71.8,3.4,1894.0,222.5,56,48,19,0.46,0.39,153.3,4.5,1.3,NONE,0,74,1894.0
AF-J3QPZ5-F1-model_v6,AF,A,306,302,0.674,412.0,178.0,14280.7,992.0,270,27,5,0.89,0.09,460.4,4.2,0.5,NONE,0,209,14280.7
AF-J3S6Y1-F1-model_v6,AF,A,670,666,0.7727,7.4,1.3,445.5,25.5,85,470,111,0.13,0.71,7.8,7.8,5.1,NONE,0,5,445.5
AF-J9SQF3-F1-model_v6,AF,A,1732,1728,0.8557,61.2,2.7,4075.5,230.4,751,631,346,0.43,0.37,135.5,5.0,2.5,NONE,0,546,4075.5
AF-K7N6K2-F1-model_v6,AF,A,485,481,0.8551,90.6,3.5,5176.7,335.4,213,203,65,0.44,0.42,196.5,8.3,0.7,NONE,0,140,5176.7
AF-L0N7N1-F1-model_v6,AF,A,1674,1670,0.8178,53.2,3.5,2804.8,149.9,685,612,373,0.41,0.37,123.2,5.4,3.0,NONE,0,1278,2804.8
AF-L7N1X6-F1-model_v6,AF,A,466,462,0.8375,17.0,1.3,448.0,50.0,117,290,55,0.25,0.63,44.9,8.9,0.6,NONE,0,73,448.0
AF-M0QWB7-F1-model_v6,AF,A,188,184,0.8571,57.6,3.4,1381.5,169.7,59,93,32,0.32,0.51,166.7,7.7,1.3,NONE,0,126,1381.5
AF-O08523-F1-model_v6,AF,A,2155,2151,0.8481,12.6,1.1,1444.6,49.5,464,1211,476,0.22,0.56,37.9,7.4,1.1,NONE,0,1346,1444.6
AF-O08524-F1-model_v6,AF,A,329,325,0.8285,14.2,1.8,490.2,47.1,44,224,57,0.14,0.69,14.8,16.7,4.1,NONE,0,170,490.2
AF-O08528-F1-model_v6,AF,A,917,913,0.8481,110.2,5.1,7279.0,401.7,489,309,115,0.54,0.34,200.9,7.5,0.8,NONE,0,879,7279.0
AF-O08529-F1-model_v6,AF,A,700,696,0.8491,34.4,1.8,1081.8,96.1,278,318,100,0.4,0.46,77.7,7.1,0.6,NONE,0,675,1081.8
AF-O08530-F1-model_v6,AF,A,382,378,0.7663,168.3,35.6,3675.1,362.9,270,69,39,0.71,0.18,235.1,2.0,0.7,NONE,0,215,3675.1
AF-O08532-F1-model_v6,AF,A,1103,1099,0.8803,59.0,2.8,8405.4,308.1,442,516,141,0.4,0.47,136.9,7.2,4.4,NONE,0,92,8405.4
AF-O08537-F1-model_v6,AF,A,530,526,0.8729,95.9,3.4,14382.4,656.2,222,214,90,0.42,0.41,219.1,7.0,3.1,NONE,0,310,14382.4
AF-O08538-F1-model_v6,AF,A,498,494,0.8319,197.7,7.0,7277.5,595.8,238,170,86,0.48,0.34,402.0,11.0,1.5,NONE,0,135,7277.5
AF-O08539-F1-model_v6,AF,A,588,584,0.8025,76.0,9.1,1669.2,185.6,274,239,71,0.47,0.41,153.7,8.7,2.4,NONE,0,195,1669.2
AF-O08540-F1-model_v6,AF,A,113,109,0.7301,6.9,1.1,88.9,12.8,16,76,17,0.15,0.7,1.5,9.2,1.7,NONE,0,15,88.9
AF-O08542-F1-model_v6,AF,A,206,202,0.9079,57.8,1.6,1618.6,211.6,53,119,30,0.26,0.59,203.2,7.0,2.3,NONE,0,11,1618.6
AF-O08543-F1-model_v6,AF,A,228,224,0.9118,87.0,2.9,3838.5,348.2,62,135,27,0.28,0.6,289.8,10.9,1.6,NONE,0,216,3838.5
AF-O08545-F1-model_v6,AF,A,230,226,0.8836,32.9,2.0,1013.9,115.6,48,139,39,0.21,0.62,117.7,11.2,5.9,NONE,0,222,1013.9
AF-O08546-F1-model_v6,AF,A,87,83,0.902,216.4,2.8,6663.9,856.9,32,34,17,0.39,0.41,541.7,9.5,18.1,NONE,0,4,6663.9
AF-O08547-F1-model_v6,AF,A,215,211,0.8309,165.5,10.0,2577.9,401.4,142,53,16,0.67,0.25,242.9,7.5,1.5,NONE,0,201,2577.9
AF-O08553-F1-model_v6,AF,A,572,568,0.8647,43.4,2.1,2330.6,143.0,196,282,90,0.35,0.5,113.3,8.3,0.9,NONE,0,267,2330.6
AF-O08573-F1-model_v6,AF,A,353,349,0.8087,10.7,1.4,490.6,34.2,26,270,53,0.07,0.77,2.8,13.4,0.9,NONE,0,210,490.6
AF-O08574-F1-model_v6,AF,A,370,366,0.8705,46.2,2.9,1402.8,150.1,82,205,79,0.22,0.56,182.8,8.6,2.1,NONE,0,147,1402.8
AF-O08575-F1-model_v6,AF,A,532,528,0.8657,32.7,2.2,3125.2,154.8,158,268,102,0.3,0.51,94.1,8.6,0.9,NONE,0,379,3125.2
AF-O08576-F1-model_v6,AF,A,446,442,0.8263,113.0,4.6,4359.0,319.0,213,144,85,0.48,0.33,226.5,9.4,4.1,NONE,0,257,4359.0
AF-O08579-F1-model_v6,AF,A,259,255,0.8994,55.8,1.4,1129.6,177.0,60,124,71,0.24,0.49,225.7,4.3,2.1,NONE,0,243,1129.6
AF-O08580-F1-model_v6,AF,A,422,418,0.7745,66.8,8.5,2007.3,158.1,199,153,66,0.48,0.37,126.2,13.7,11.0,NONE,0,359,2007.3
AF-O08581-F1-model_v6,AF,A,336,332,0.7208,217.3,66.7,2377.1,368.8,260,47,25,0.78,0.14,276.1,7.6,0.5,NONE,0,12,2377.1
AF-O08582-F1-model_v6,AF,A,668,664,0.878,28.9,1.6,2950.0,135.3,183,375,106,0.28,0.56,84.7,9.6,0.9,NONE,0,321,2950.0
AF-O08583-F1-model_v6,AF,A,255,251,0.8938,43.7,1.7,1437.2,161.6,56,118,77,0.22,0.47,170.8,10.7,1.8,NONE,0,123,1437.2
AF-O08584-F1-model_v6,AF,A,283,279,0.8955,41.9,1.8,1734.4,168.9,91,124,64,0.33,0.44,103.8,17.5,1.4,NONE,0,40,1734.4
AF-O08585-F1-model_v6,AF,A,235,231,0.7875,222.8,24.4,4171.7,510.6,140,61,30,0.61,0.26,365.7,3.8,0.8,NONE,0,131,4171.7
AF-O08586-F1-model_v6,AF,A,403,399,0.8748,34.2,1.7,1598.9,123.3,122,216,61,0.31,0.54,98.3,7.3,1.0,NONE,0,151,1598.9
AF-O08599-F1-model_v6,AF,A,594,590,0.821,61.0,3.9,2218.1,168.0,317,203,70,0.54,0.34,108.1,7.7,2.5,NONE,0,252,2218.1
AF-O08600-F1-model_v6,AF,A,294,290,0.8292,19.0,1.9,408.8,50.2,97,150,43,0.33,0.52,40.0,10.2,2.3,NONE,0,175,408.8
AF-O08601-F1-model_v6,AF,A,894,890,0.843,53.2,5.1,7135.0,271.4,341,458,91,0.38,0.51,114.9,17.5,1.5,NONE,0,579,7135.0
AF-O08602-F1-model_v6,AF,A,253,249,0.8262,88.4,12.9,2386.5,254.4,112,114,23,0.45,0.46,183.3,12.6,2.1,NONE,0,17,2386.5
AF-O08603-F1-model_v6,AF,A,253,249,0.7906,114.4,13.0,1462.3,240.4,117,108,24,0.47,0.43,214.2,30.1,7.2,NONE,0,101,1462.3
AF-O08604-F1-model_v6,AF,A,253,249,0.8222,105.5,11.5,2381.8,288.0,116,108,25,0.47,0.43,212.4,14.7,1.6,NONE,0,20,2381.8
AF-O08605-F1-model_v6,AF,A,427,423,0.8413,72.1,3.3,2491.8,210.1,197,169,57,0.47,0.4,146.8,8.4,2.9,NONE,0,157,2491.8
AF-O08608-F1-model_v6,AF,A,189,185,0.8262,27.9,4.8,979.7,92.2,41,116,28,0.22,0.63,87.8,12.8,2.6,NONE,0,151,979.7
AF-O08609-F1-model_v6,AF,A,298,294,0.756,130.8,14.8,1312.5,232.1,154,90,50,0.52,0.31,241.4,12.6,2.9,NONE,0,291,1312.5
AF-O08632-F1-model_v6,AF,A,62,58,0.572,2.8,2.0,14.1,3.1,1,28,29,0.02,0.48,2.3,2.7,2.8,NONE,0,14,14.1
AF-O08633-F1-model_v6,AF,A,61,57,0.7741,3.0,0.7,45.2,7.5,4,23,30,0.07,0.4,23.6,1.5,1.4,NONE,0,50,45.2
AF-O08638-F1-model_v6,AF,A,1972,1968,0.7738,97.3,23.3,13483.2,447.7,1429,310,229,0.73,0.16,131.6,4.9,8.9,NONE,0,1567,13483.2
AF-O08640-F1-model_v6,AF,A,167,163,0.6541,1.4,0.7,13.3,2.3,0,95,68,0.0,0.58,,1.7,1.1,NONE,0,3,13.3
AF-O08641-F1-model_v6,AF,A,340,336,0.8526,45.5,3.4,1130.8,137.1,87,204,45,0.26,0.61,151.0,10.1,1.9,NONE,0,220,1130.8
AF-O08644-F1-model_v6,AF,A,1014,1010,0.8839,43.9,1.8,2158.1,156.3,282,567,161,0.28,0.56,133.6,11.3,1.9,NONE,0,605,2158.1
AF-O08648-F1-model_v6,AF,A,1597,1593,0.8149,47.6,3.3,1377.6,113.1,696,543,354,0.44,0.34,101.2,7.7,3.4,NONE,0,381,1377.6
AF-O08650-F1-model_v6,AF,A,554,550,0.7969,114.9,15.8,3944.8,314.4,358,141,51,0.65,0.26,173.4,7.1,2.2,NONE,0,25,3944.8
AF-O08663-F1-model_v6,AF,A,478,474,0.839,43.1,2.3,872.4,109.3,157,227,90,0.33,0.48,112.5,11.5,1.9,NONE,0,62,872.4
AF-O08664-F1-model_v6,AF,A,217,213,0.798,23.2,3.3,777.2,65.5,34,129,50,0.16,0.61,83.5,15.3,2.4,NONE,0,18,777.2
AF-O08665-F1-model_v6,AF,A,772,768,0.885,30.3,1.5,1129.1,108.3,199,458,111,0.26,0.6,93.3,10.0,0.7,NONE,0,19,1129.1
AF-O08672-F1-model_v6,AF,A,792,788,0.8079,80.2,8.3,2757.2,216.6,379,297,112,0.48,0.38,159.2,8.9,2.1,NONE,0,11,2757.2
AF-O08674-F1-model_v6,AF,A,515,511,0.8408,17.7,2.3,689.9,63.9,80,350,81,0.16,0.68,70.6,9.2,2.3,NONE,0,57,689.9
AF-O08675-F1-model_v6,AF,A,369,365,0.7968,133.7,24.8,4135.7,359.6,253,74,38,0.69,0.2,189.8,9.7,2.0,NONE,0,279,4135.7
AF-O08677-F1-model_v6,AF,A,661,657,0.7819,13.5,2.6,922.8,46.2,105,434,118,0.16,0.66,39.9,10.2,2.1,NONE,0,165,922.8
AF-O08686-F1-model_v6,AF,A,283,279,0.857,103.8,5.4,8917.9,555.9,102,118,59,0.37,0.42,269.4,11.1,2.9,NONE,0,150,8917.9
AF-O08688-F1-model_v6,AF,A,640,636,0.8854,26.1,1.3,2064.2,115.5,181,376,79,0.28,0.59,68.3,11.2,0.6,NONE,0,87,2064.2
AF-O08689-F1-model_v6,AF,A,376,372,0.879,27.5,2.0,1451.6,108.2,87,222,63,0.23,0.6,99.4,6.5,2.2,NONE,0,48,1451.6
AF-O08691-F1-model_v6,AF,A,354,350,0.8012,35.2,3.1,759.3,78.4,150,146,54,0.43,0.42,69.7,11.8,2.5,NONE,0,92,759.3
AF-O08692-F1-model_v6,AF,A,167,163,0.8259,58.1,4.4,988.7,139.6,66,78,19,0.4,0.48,133.8,7.6,2.4,NONE,0,153,988.7
AF-O08696-F1-model_v6,AF,A,760,756,0.8371,8.8,1.1,395.5,31.2,92,435,229,0.12,0.58,44.2,5.1,1.7,NONE,0,245,395.5
AF-O08705-F1-model_v6,AF,A,362,358,0.8322,176.7,26.6,19010.5,1034.3,263,58,37,0.73,0.16,239.3,3.6,2.5,NONE,0,174,19010.5
AF-O08707-F1-model_v6,AF,A,378,374,0.7122,112.2,36.6,1927.6,199.5,274,53,47,0.73,0.14,151.7,3.2,5.0,NONE,0,67,1927.6
AF-O08709-F1-model_v6,AF,A,224,220,0.847,34.0,1.9,586.8,88.7,81,107,32,0.37,0.49,85.8,4.7,0.7,NONE,0,87,586.8
AF-O08712-F1-model_v6,AF,A,401,397,0.8331,58.6,4.0,1907.1,162.1,179,176,42,0.45,0.44,122.7,7.3,0.9,NONE,0,8,1907.1
AF-O08715-F1-model_v6,AF,A,857,853,0.9124,28.1,1.5,4940.0,226.3,159,474,220,0.19,0.56,127.6,6.2,3.5,NONE,0,314,4940.0
AF-O08716-F1-model_v6,AF,A,132,128,0.8309,33.5,3.8,1174.2,115.1,25,87,16,0.2,0.68,84.6,24.9,0.4,NONE,0,32,1174.2
AF-O08717-F1-model_v6,AF,A,350,346,0.9174,75.6,2.2,4954.4,356.8,98,200,48,0.28,0.58,236.2,14.6,2.0,NONE,0,9,4954.4
AF-O08734-F1-model_v6,AF,A,209,205,0.7703,128.7,28.0,5735.4,435.0,151,34,20,0.74,0.17,170.7,17.0,1.5,NONE,0,138,5735.4
AF-O08736-F1-model_v6,AF,A,419,415,0.8622,83.9,3.0,3930.7,274.6,169,188,58,0.41,0.45,198.6,6.4,1.0,NONE,0,75,3930.7
AF-O08738-F1-model_v6,AF,A,276,272,0.8306,25.6,2.1,621.6,67.3,85,150,37,0.31,0.55,61.4,10.9,3.3,NONE,0,218,621.6
AF-O08739-F1-model_v6,AF,A,766,762,0.8085,71.4,4.7,2436.6,170.8,415,240,107,0.54,0.31,126.4,6.5,3.5,NONE,0,57,2436.6
AF-O08740-F1-model_v6,AF,A,117,113,0.8191,93.2,9.1,1419.6,222.2,56,48,9,0.5,0.42,176.5,13.5,0.4,NONE,0,92,1419.6
AF-O08742-F1-model_v6,AF,A,567,563,0.9232,45.6,1.0,3425.6,210.4,184,251,128,0.33,0.45,131.7,4.8,2.0,NONE,0,530,3425.6
AF-O08746-F1-model_v6,AF,A,956,952,0.8826,25.9,1.4,1228.3,97.9,281,489,182,0.3,0.51,78.1,5.2,1.1,NONE,0,925,1228.3
AF-O08747-F1-model_v6,AF,A,931,927,0.895,38.1,2.1,4338.0,199.7,194,587,146,0.21,0.63,146.2,11.1,3.1,NONE,0,391,4338.0
AF-O08749-F1-model_v6,AF,A,509,505,0.8426,38.1,1.7,1163.6,105.9,182,229,94,0.36,0.45,92.1,10.6,0.5,NONE,0,497,1163.6
AF-O08750-F1-model_v6,AF,A,462,458,0.8916,85.5,2.6,8141.9,434.7,128,202,128,0.28,0.44,286.8,7.4,7.4,NONE,0,446,8141.9
AF-O08755-F1-model_v6,AF,A,465,461,0.9235,43.2,1.7,8353.7,406.2,106,232,123,0.23,0.5,169.4,7.1,2.4,NONE,0,328,8353.7
AF-O08756-F1-model_v6,AF,A,261,257,0.812,52.5,3.3,1256.6,126.0,130,99,28,0.51,0.39,99.6,5.3,0.8,NONE,0,117,1256.6
AF-O08759-F1-model_v6,AF,A,870,866,0.8165,76.5,5.3,3672.5,243.0,479,270,117,0.55,0.31,134.1,6.2,3.0,NONE,0,614,3672.5
AF-O08760-F1-model_v6,AF,A,345,341,0.8264,56.6,3.6,1393.9,153.3,177,120,44,0.52,0.35,102.2,9.1,2.7,NONE,0,252,1393.9
AF-O08762-F1-model_v6,AF,A,761,757,0.9003,17.7,1.0,3209.3,125.7,144,456,157,0.19,0.6,65.2,8.1,1.8,NONE,0,7,3209.3
AF-O08784-F1-model_v6,AF,A,1320,1316,0.9074,11.9,0.9,3237.1,101.3,95,596,625,0.07,0.45,127.1,2.5,3.4,NONE,0,49,3237.1
AF-O08785-F1-model_v6,AF,A,855,851,0.8859,38.6,2.2,2102.8,159.7,215,469,167,0.25,0.55,136.8,6.8,1.5,NONE,0,514,2102.8
AF-O08786-F1-model_v6,AF,A,436,432,0.777,131.0,20.2,4376.7,327.1,275,109,48,0.64,0.25,202.3,7.2,3.1,NONE,0,244,4376.7
AF-O08788-F1-model_v6,AF,A,1281,1277,0.7641,90.4,21.3,8213.3,297.2,834,289,154,0.65,0.23,136.8,3.8,1.5,NONE,0,513,8213.3
AF-O08789-F1-model_v6,AF,A,591,587,0.9009,104.6,3.3,15256.9,682.2,137,328,122,0.23,0.56,265.1,76.1,1.0,NONE,0,74,15256.9
AF-O08790-F1-model_v6,AF,A,351,347,0.8274,277.6,53.2,38557.2,2081.8,279,45,23,0.8,0.13,343.8,8.6,1.6,NONE,0,216,38557.2
AF-O08791-F1-model_v6,AF,A,596,592,0.8283,13.0,1.3,266.2,34.5,100,371,121,0.17,0.63,42.4,8.9,1.2,NONE,0,173,266.2
AF-O08792-F1-model_v6,AF,A,575,571,0.8731,20.7,1.3,737.1,68.9,112,341,118,0.2,0.6,79.6,8.1,1.5,NONE,0,42,737.1
AF-O08795-F1-model_v6,AF,A,521,517,0.8406,84.0,4.9,4074.5,276.3,224,225,68,0.43,0.44,161.9,31.3,1.5,NONE,0,342,4074.5
AF-O08796-F1-model_v6,AF,A,724,720,0.8118,24.2,2.5,1097.7,72.3,274,313,133,0.38,0.43,54.7,7.1,1.4,NONE,0,595,1097.7
AF-O08800-F1-model_v6,AF,A,374,370,0.8612,54.4,3.0,3574.2,221.2,141,190,39,0.38,0.51,128.5,10.5,0.7,NONE,0,135,3574.2
AF-O08807-F1-model_v6,AF,A,274,270,0.8754,28.3,1.6,1133.0,101.3,78,142,50,0.29,0.53,87.0,4.9,3.2,NONE,0,132,1133.0
AF-O08808-F1-model_v6,AF,A,1255,1251,0.7861,73.5,9.6,4535.1,216.4,710,383,158,0.57,0.31,117.4,21.7,1.5,NONE,0,366,4535.1
AF-O08810-F1-model_v6,AF,A,971,967,0.8838,51.1,2.3,4899.1,241.5,422,421,124,0.44,0.44,105.3,11.3,1.4,NONE,0,884,4899.1
AF-O08811-F1-model_v6,AF,A,760,756,0.8169,83.0,6.6,3028.2,225.6,450,238,68,0.6,0.31,135.3,7.5,1.3,NONE,0,335,3028.2
AF-O08832-F1-model_v6,AF,A,578,574,0.8942,48.3,2.1,2588.9,194.5,203,275,96,0.35,0.48,123.9,8.6,1.9,NONE,0,379,2588.9
