human_gene,disease,human_uid,mimic_uid,mimic_species,source_type,score,h_gini,m_gini,h_n,m_n,h_conc,m_conc
PHOX2A,"Fibrosis of extraocular muscles, congenital, 2",O14813,P76190,ecoli,microbial,88,0.9358,0.9303,280,267,150.0,79.0
FAM20C,Raine syndrome,Q8IXL6,Q9LZA4,arabidopsis,dietary,88,0.9289,0.9188,580,596,139.0,169.0
PRKCH,Ischemic stroke,P24723,O80963,arabidopsis,dietary,88,0.9153,0.9118,679,772,125.0,136.0
PRKCH,Ischemic stroke,P24723,Q9LV48,arabidopsis,dietary,88,0.9153,0.9011,679,648,125.0,94.0
TNFRSF10B,Squamous cell carcinoma of the head and neck,O14763,Q0E0C6,rice,dietary,88,0.9265,0.9229,436,402,133.0,174.0
TNFRSF10B,Squamous cell carcinoma of the head and neck,O14763,Q9LG41,rice,dietary,88,0.9265,0.9272,436,435,133.0,148.0
TNFRSF10B,Squamous cell carcinoma of the head and neck,O14763,Q9LT78,arabidopsis,dietary,88,0.9265,0.9167,436,448,133.0,86.0
MFRP,"Nanophthalmos 2; Microphthalmia, isolated, 5",Q9BY79,Q9SU40,arabidopsis,dietary,88,0.9357,0.9307,575,583,117.0,95.0
TPK1,"Thiamine metabolism dysfunction syndrome 5, episodic encephalopathy type",Q9H3S4,Q60E61,rice,dietary,88,0.9477,0.954,239,227,153.0,135.0
SMOC1,Ophthalmoacromelic syndrome,Q9H4F8,Q9ZT42,arabidopsis,dietary,88,0.9175,0.9164,430,371,117.0,147.0
SMOC1,Ophthalmoacromelic syndrome,Q9H4F8,P9WHM9,tuberculosis,microbial,88,0.9175,0.9095,430,418,117.0,119.0
MOGS,Type IIb congenital disorder of glycosylation,Q13724,P71707,tuberculosis,microbial,88,0.9264,0.9311,833,816,145.0,234.0
ZNF341,"Hyper-IgE syndrome 3, autosomal recessive, with recurrent infections",Q9BYN7,Q0J951,rice,dietary,88,0.9135,0.9045,850,814,104.0,77.0
NTRK2,"Developmental and epileptic encephalopathy 58; Obesity, hyperphagia, and developmental delay",Q16620,O80963,arabidopsis,dietary,88,0.9158,0.9118,818,772,122.0,136.0
NTRK2,"Developmental and epileptic encephalopathy 58; Obesity, hyperphagia, and developmental delay",Q16620,Q8H0T9,arabidopsis,dietary,88,0.9158,0.9161,818,833,122.0,120.0
SLITRK1,Trichotillomania,Q96PX8,P93755,arabidopsis,dietary,88,0.9315,0.9289,692,712,109.0,68.0
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,Q0WQF7,arabidopsis,dietary,88,0.9163,0.925,692,633,116.0,93.0
NCF1,"Granulomatous disease, chronic, autosomal recessive, 1",P14598,P58535,salmonella,microbial,88,0.9336,0.9279,386,368,127.0,152.0
GSX2,Diencephalic-mesencephalic junction dysplasia syndrome 2,Q9BZM3,Q9FMZ0,arabidopsis,dietary,88,0.9401,0.9411,300,333,138.0,126.0
NGF,"Neuropathy, hereditary sensory and autonomic, 5",P01138,O25911,helicobacter,microbial,88,0.9331,0.9239,237,263,98.0,114.0
OTUD7A,Neurodevelopmental disorder with hypotonia and seizures,Q8TE49,Q9SNA3,arabidopsis,dietary,88,0.9457,0.9422,922,885,164.0,210.0
RNF220,"Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy",Q5VTB9,Q9ZWA6,arabidopsis,dietary,88,0.927,0.9257,562,502,88.0,70.0
RNF220,"Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy",Q5VTB9,Q2FYF1,staph,microbial,88,0.927,0.9185,562,482,88.0,75.0
NECTIN1,"Ectodermal dysplasia, Margarita Island type; Non-syndromic orofacial cleft 7",Q15223,Q8GXT3,arabidopsis,dietary,88,0.9191,0.9141,513,450,85.0,67.0
ARL3,Joubert syndrome 35; Retinitis pigmentosa 83,P36405,O31633,bacillus,microbial,88,0.922,0.9048,178,177,91.0,67.0
CD40,Immunodeficiency with hyper-IgM 3,P25942,P24806,arabidopsis,dietary,88,0.9341,0.9204,273,265,107.0,119.0
CD40,Immunodeficiency with hyper-IgM 3,P25942,Q8L817,arabidopsis,dietary,88,0.9341,0.9333,273,271,107.0,122.0
TMPRSS3,"Deafness, autosomal recessive, 8",P57727,Q8S9J6,arabidopsis,dietary,88,0.9418,0.935,450,470,73.0,115.0
TMPRSS3,"Deafness, autosomal recessive, 8",P57727,Q9LJ42,arabidopsis,dietary,88,0.9418,0.9256,450,436,73.0,73.0
TMPRSS3,"Deafness, autosomal recessive, 8",P57727,Q9SVQ6,arabidopsis,dietary,88,0.9418,0.9313,450,434,73.0,57.0
TLE6,Oocyte/zygote/embryo maturation arrest 15,Q9H808,A2ZNT5,rice,dietary,88,0.9212,0.918,568,633,96.0,98.0
RAB33B,Smith-McCort dysplasia 2,Q9H082,P38145,yeast,dietary,88,0.9226,0.939,225,234,89.0,109.0
RAB33B,Smith-McCort dysplasia 2,Q9H082,Q9I6S5,pseudomonas,microbial,88,0.9226,0.925,225,206,89.0,64.0
TACSTD2,"Corneal dystrophy, gelatinous drop-like",P09758,Q5BPP4,arabidopsis,dietary,88,0.9237,0.9298,319,314,92.0,150.0
TACSTD2,"Corneal dystrophy, gelatinous drop-like",P09758,P47205,pseudomonas,microbial,88,0.9237,0.9157,319,299,92.0,69.0
TBL1XR1,"Pierpont syndrome; Intellectual developmental disorder, autosomal dominant 41",Q9BZK7,P9WNR5,tuberculosis,microbial,88,0.9331,0.9348,510,491,101.0,65.0
ILDR1,"Deafness, autosomal recessive, 42",Q86SU0,P38915,yeast,dietary,88,0.912,0.9154,542,598,70.0,90.0
ILDR1,"Deafness, autosomal recessive, 42",Q86SU0,Q94C33,arabidopsis,dietary,88,0.912,0.9009,542,517,70.0,73.0
IRF2BPL,"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures",Q9H1B7,Q9MA83,arabidopsis,dietary,88,0.9343,0.9275,792,782,77.0,83.0
THOC6,Beaulieu-Boycott-Innes syndrome,Q86W42,O64597,arabidopsis,dietary,88,0.9181,0.907,337,328,77.0,82.0
TMPRSS6,Iron-refractory iron deficiency anemia,Q8IU80,Q9SCV5,arabidopsis,dietary,88,0.9294,0.9298,807,822,99.0,143.0
COX11,"Mitochondrial complex IV deficiency, nuclear type 23",Q9Y6N1,O31917,bacillus,microbial,88,0.9286,0.9362,272,266,72.0,86.0
COX11,"Mitochondrial complex IV deficiency, nuclear type 23",Q9Y6N1,P40788,salmonella,microbial,88,0.9286,0.9236,272,293,72.0,62.0
SCN2B,"Atrial fibrillation, familial, 14",O60939,Q9SH27,arabidopsis,dietary,88,0.9396,0.9215,211,211,76.0,100.0
FAM177A1,Neurodevelopmental disorder with white matter abnormalities and gait disturbance,Q8N128,P0AAK1,ecoli,microbial,88,0.9216,0.9287,209,199,59.0,64.0
CSF2RA,Pulmonary surfactant metabolism dysfunction 4,P15509,P46992,yeast,dietary,88,0.9137,0.9109,396,392,66.0,54.0
VEZF1,"Cardiomyopathy, dilated, 1OO",Q14119,Q39817,soybean,dietary,88,0.9279,0.9234,517,542,80.0,141.0
CD70,Lymphoproliferative syndrome 3,P32970,Q6K5P8,rice,dietary,88,0.9343,0.9381,189,219,63.0,46.0
CLEC7A,"Candidiasis, familial, 4",Q9BXN2,P39697,arabidopsis,dietary,88,0.9188,0.9142,243,208,38.0,40.0
ASXL1,Bohring-Opitz syndrome; Myelodysplastic syndrome,Q8IXJ9,Q9XER9,arabidopsis,dietary,87,0.9204,0.9159,1537,1388,288.0,223.0
CNNM4,Jalili syndrome,Q6P4Q7,Q6Y9P5,rice,dietary,87,0.9384,0.942,771,591,258.0,359.0
DCLRE1B,"Dyskeratosis congenita, autosomal recessive, 8",Q9H816,Q6ZKL8,rice,dietary,87,0.9375,0.927,528,527,265.0,202.0
DBT,Maple syrup urine disease 2,P11182,A3BN26,rice,dietary,87,0.9341,0.9227,478,473,249.0,170.0
DBT,Maple syrup urine disease 2,P11182,P08459,yeast,dietary,87,0.9341,0.92,478,498,249.0,159.0
DBT,Maple syrup urine disease 2,P11182,Q9M9H4,arabidopsis,dietary,87,0.9341,0.9263,478,496,249.0,153.0
BUD13,Achalasia-progeroid syndrome,Q9BRD0,P42950,yeast,dietary,87,0.9195,0.9182,615,614,193.0,171.0
SYK,Immunodeficiency 82 with systemic inflammation,P43405,P38088,yeast,dietary,87,0.9228,0.9213,631,686,241.0,287.0
SYK,Immunodeficiency 82 with systemic inflammation,P43405,Q9FNN2,arabidopsis,dietary,87,0.9228,0.9278,631,585,241.0,264.0
SYK,Immunodeficiency 82 with systemic inflammation,P43405,P71707,tuberculosis,microbial,87,0.9228,0.9311,631,816,241.0,234.0
GP1BA,"Non-arteritic anterior ischemic optic neuropathy; Bernard-Soulier syndrome; Bernard-Soulier syndrome A2, autosomal domin",P07359,Q01448,yeast,dietary,87,0.9363,0.9285,648,621,202.0,163.0
CNTNAP1,"Lethal congenital contracture syndrome 7; Neuropathy, congenital hypomyelinating, 3",P78357,P40890,yeast,dietary,87,0.9147,0.917,1380,1545,179.0,203.0
PCSK9,"Hypercholesterolemia, familial, 3",Q8NBP7,P32336,yeast,dietary,87,0.9225,0.9132,688,847,208.0,287.0
JPH3,Huntington disease-like 2,Q8WXH2,Q59VR1,candida,microbial,87,0.9294,0.9298,744,574,216.0,179.0
CBLIF,Hereditary intrinsic factor deficiency,P27352,Q9FNK4,arabidopsis,dietary,87,0.9201,0.9114,413,471,217.0,163.0
CBLIF,Hereditary intrinsic factor deficiency,P27352,P14175,ecoli,microbial,87,0.9201,0.9072,413,396,217.0,126.0
CBLIF,Hereditary intrinsic factor deficiency,P27352,I6YC03,tuberculosis,microbial,87,0.9201,0.9239,413,352,217.0,157.0
MPEG1,Immunodeficiency 77,Q2M385,O81905,arabidopsis,dietary,87,0.9321,0.9222,712,846,172.0,149.0
HFE,Hemochromatosis 1,Q30201,Q9FPF0,arabidopsis,dietary,87,0.9481,0.9421,344,388,186.0,235.0
SHANK2,Autism 17,Q9UPX8,Q8IL84,malaria,parasitic,87,0.9267,0.9099,1845,2016,202.0,261.0
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,Q75L34,rice,dietary,87,0.9249,0.915,627,498,173.0,157.0
HNF1A,Hepatic adenomas familial; Maturity-onset diabetes of the young 3; Type 1 diabetes mellitus 20,P20823,Q9ZNQ8,arabidopsis,dietary,87,0.9249,0.9373,627,629,173.0,214.0
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,P53214,yeast,dietary,87,0.923,0.9248,538,547,186.0,164.0
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,F4I4K5,arabidopsis,dietary,87,0.923,0.9299,538,577,186.0,137.0
LRRC56,"Ciliary dyskinesia, primary, 39",Q8IYG6,Q9C8N7,arabidopsis,dietary,87,0.923,0.9353,538,594,186.0,209.0
TLR5,Systemic lupus erythematosus 1,O60602,P31384,yeast,dietary,87,0.9273,0.9229,854,833,136.0,222.0
TLR5,Systemic lupus erythematosus 1,O60602,Q0WV12,arabidopsis,dietary,87,0.9273,0.9185,854,798,136.0,256.0
TLR5,Systemic lupus erythematosus 1,O60602,P48370,helicobacter,microbial,87,0.9273,0.9263,854,823,136.0,136.0
SUN5,Spermatogenic failure 16,Q8TC36,Q6H6D2,rice,dietary,87,0.9327,0.9315,375,354,205.0,199.0
LPL,"Hyperlipoproteinemia 1; Hyperlipidemia, familial combined, 3",P06858,Q8S237,rice,dietary,87,0.929,0.9246,471,518,175.0,199.0
LPL,"Hyperlipoproteinemia 1; Hyperlipidemia, familial combined, 3",P06858,Q5A846,candida,microbial,87,0.929,0.9293,471,545,175.0,147.0
COMP,Multiple epiphyseal dysplasia 1; Pseudoachondroplasia; Carpal tunnel syndrome 2,P49747,Q94F08,arabidopsis,dietary,87,0.9195,0.9249,753,692,182.0,192.0
NRXN1,Pitt-Hopkins-like syndrome 2; Schizophrenia 17,Q9ULB1,P40890,yeast,dietary,87,0.9223,0.917,1473,1545,171.0,203.0
CHRNA4,"Epilepsy, nocturnal frontal lobe, 1",P43681,Q9LZA4,arabidopsis,dietary,87,0.931,0.9188,623,596,147.0,169.0
AIRE,"Autoimmune polyendocrine syndrome 1, with or without reversible metaphyseal dysplasia",O43918,Q9M9H4,arabidopsis,dietary,87,0.9337,0.9263,541,496,180.0,153.0
HAAO,"Vertebral, cardiac, renal, and limb defects syndrome 1",P46952,Q10S70,rice,dietary,87,0.9233,0.9304,282,275,144.0,115.0
HAAO,"Vertebral, cardiac, renal, and limb defects syndrome 1",P46952,Q9M203,arabidopsis,dietary,87,0.9233,0.916,282,260,144.0,78.0
HAAO,"Vertebral, cardiac, renal, and limb defects syndrome 1",P46952,P37663,ecoli,microbial,87,0.9233,0.9144,282,228,144.0,106.0
GBA1,Gaucher disease; Gaucher disease 1; Gaucher disease 2; Gaucher disease 3; Gaucher disease 3C; Gaucher disease perinatal ,P04062,Q8GY60,arabidopsis,dietary,87,0.9298,0.9278,532,464,148.0,185.0
TNFRSF10B,Squamous cell carcinoma of the head and neck,O14763,P38816,yeast,dietary,87,0.9265,0.9231,436,338,133.0,139.0
FCGR2B,Systemic lupus erythematosus,P31994,Q9PHM1,campylobacter,microbial,87,0.9475,0.9307,306,271,147.0,164.0
MFRP,"Nanophthalmos 2; Microphthalmia, isolated, 5",Q9BY79,Q9LUI1,arabidopsis,dietary,87,0.9357,0.9394,575,466,117.0,101.0
MFRP,"Nanophthalmos 2; Microphthalmia, isolated, 5",Q9BY79,Q5ALL8,candida,microbial,87,0.9357,0.9241,575,534,117.0,148.0
TPK1,"Thiamine metabolism dysfunction syndrome 5, episodic encephalopathy type",Q9H3S4,Q9LZJ6,arabidopsis,dietary,87,0.9477,0.939,239,253,153.0,118.0
TPK1,"Thiamine metabolism dysfunction syndrome 5, episodic encephalopathy type",Q9H3S4,Q46809,ecoli,microbial,87,0.9477,0.938,239,252,153.0,106.0
ARR3,"Myopia 26, X-linked, female-limited",P36575,A4HWF0,leishmania,parasitic,87,0.9065,0.9032,384,374,120.0,198.0
SMOC1,Ophthalmoacromelic syndrome,Q9H4F8,P36076,yeast,dietary,87,0.9175,0.9124,430,567,117.0,86.0
SMOC1,Ophthalmoacromelic syndrome,Q9H4F8,Q9CAI2,arabidopsis,dietary,87,0.9175,0.8892,430,410,117.0,111.0
SMOC1,Ophthalmoacromelic syndrome,Q9H4F8,Q9ZVI9,arabidopsis,dietary,87,0.9175,0.9031,430,417,117.0,113.0
SMOC1,Ophthalmoacromelic syndrome,Q9H4F8,P39377,ecoli,microbial,87,0.9175,0.9352,430,386,117.0,82.0
SMOC1,Ophthalmoacromelic syndrome,Q9H4F8,P9WQA9,tuberculosis,microbial,87,0.9175,0.8976,430,380,117.0,84.0
NFIA,Brain malformations with or without urinary tract defects,Q12857,Q9LZR8,arabidopsis,dietary,87,0.9618,0.9599,505,478,159.0,124.0
MOGS,Type IIb congenital disorder of glycosylation,Q13724,O64782,arabidopsis,dietary,87,0.9264,0.9177,833,801,145.0,230.0
MOGS,Type IIb congenital disorder of glycosylation,Q13724,Q8GZ99,arabidopsis,dietary,87,0.9264,0.9221,833,949,145.0,146.0
MOGS,Type IIb congenital disorder of glycosylation,Q13724,P20099,ecoli,microbial,87,0.9264,0.9157,833,773,145.0,177.0
MOGS,Type IIb congenital disorder of glycosylation,Q13724,Q03470,campylobacter,microbial,87,0.9264,0.9029,833,859,145.0,136.0
MOGS,Type IIb congenital disorder of glycosylation,Q13724,P05653,bacillus,microbial,87,0.9264,0.9138,833,817,145.0,245.0
MYRF,"Encephalitis/encephalopathy, mild, with reversible myelin vacuolization; Cardiac-urogenital syndrome; Nanophthalmos 1",Q9Y2G1,Q6Z2W3,rice,dietary,87,0.9197,0.9134,1147,1138,162.0,102.0
ZNF341,"Hyper-IgE syndrome 3, autosomal recessive, with recurrent infections",Q9BYN7,P41813,yeast,dietary,87,0.9135,0.8873,850,858,104.0,114.0
LRRC32,"Cleft palate, proliferative retinopathy, and developmental delay",Q14392,O49328,arabidopsis,dietary,87,0.9404,0.9412,658,796,135.0,129.0
SOHLH1,Spermatogenic failure 32; Ovarian dysgenesis 5,Q5JUK2,Q9PHU0,campylobacter,microbial,87,0.9361,0.9292,324,317,108.0,77.0
SLITRK1,Trichotillomania,Q96PX8,O49328,arabidopsis,dietary,87,0.9315,0.9412,692,796,109.0,129.0
SLITRK1,Trichotillomania,Q96PX8,Q8L7F7,arabidopsis,dietary,87,0.9315,0.9221,692,735,109.0,133.0
SLITRK1,Trichotillomania,Q96PX8,Q94F08,arabidopsis,dietary,87,0.9315,0.9249,692,692,109.0,192.0
SLITRK1,Trichotillomania,Q96PX8,Q940E8,maize,dietary,87,0.9315,0.913,692,609,109.0,97.0
CHM,Choroideremia,P24386,Q94F08,arabidopsis,dietary,87,0.9213,0.9249,649,692,133.0,192.0
CHM,Choroideremia,P24386,Q9ZQ81,arabidopsis,dietary,87,0.9213,0.9047,649,647,133.0,108.0
CHM,Choroideremia,P24386,O31488,bacillus,microbial,87,0.9213,0.9264,649,699,133.0,124.0
IFNAR2,Immunodeficiency 45,P48551,Q94C33,arabidopsis,dietary,87,0.9231,0.9009,511,517,99.0,73.0
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,P23293,yeast,dietary,87,0.9163,0.9237,692,653,116.0,168.0
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,Q08001,yeast,dietary,87,0.9163,0.9041,692,689,116.0,82.0
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,O80963,arabidopsis,dietary,87,0.9163,0.9118,692,772,116.0,136.0
IL1RAPL1,"Intellectual developmental disorder, X-linked 21",Q9NZN1,Q9LIE4,arabidopsis,dietary,87,0.9163,0.9142,692,702,116.0,84.0
DLL4,Adams-Oliver syndrome 6,Q9NR61,Q5NB85,rice,dietary,87,0.9282,0.9201,681,695,120.0,128.0
NCF1,"Granulomatous disease, chronic, autosomal recessive, 1",P14598,P23595,yeast,dietary,87,0.9336,0.9263,386,373,127.0,92.0
NCF1,"Granulomatous disease, chronic, autosomal recessive, 1",P14598,P36081,yeast,dietary,87,0.9336,0.925,386,388,127.0,86.0
NCF1,"Granulomatous disease, chronic, autosomal recessive, 1",P14598,Q9PN20,campylobacter,microbial,87,0.9336,0.9152,386,388,127.0,162.0
POMGNT1,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A3; Muscular dystrophy-dystroglycanopathy ,Q8WZA1,Q9C9Q8,arabidopsis,dietary,87,0.9385,0.9267,656,680,95.0,100.0
HNRNPDL,"Muscular dystrophy, limb-girdle, autosomal dominant 3",O14979,Q2FYF1,staph,microbial,87,0.9188,0.9185,416,482,133.0,75.0
CDC40,Pontocerebellar hypoplasia 15,O60508,P29366,yeast,dietary,87,0.9174,0.9027,575,547,118.0,74.0
TLR3,"Immunodeficiency 83, susceptibility to viral infections",O15455,Q69SP5,rice,dietary,87,0.9204,0.9077,900,974,86.0,74.0
TLR3,"Immunodeficiency 83, susceptibility to viral infections",O15455,F4I9S3,arabidopsis,dietary,87,0.9204,0.9185,900,928,86.0,94.0
TLR3,"Immunodeficiency 83, susceptibility to viral infections",O15455,O80462,arabidopsis,dietary,87,0.9204,0.8943,900,884,86.0,69.0
TLR3,"Immunodeficiency 83, susceptibility to viral infections",O15455,Q9FGL5,arabidopsis,dietary,87,0.9204,0.9194,900,962,86.0,130.0
NGF,"Neuropathy, hereditary sensory and autonomic, 5",P01138,Q69TY4,rice,dietary,87,0.9331,0.9064,237,228,98.0,101.0
NGF,"Neuropathy, hereditary sensory and autonomic, 5",P01138,Q9LYT7,arabidopsis,dietary,87,0.9331,0.9098,237,249,98.0,83.0
OTUD7A,Neurodevelopmental disorder with hypotonia and seizures,Q8TE49,Q6ZCZ2,rice,dietary,87,0.9457,0.9383,922,1210,164.0,203.0
RNF220,"Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy",Q5VTB9,Q5A220,candida,microbial,87,0.927,0.9246,562,596,88.0,88.0
NECTIN1,"Ectodermal dysplasia, Margarita Island type; Non-syndromic orofacial cleft 7",Q15223,P0A1C5,salmonella,microbial,87,0.9191,0.9216,513,466,85.0,114.0
ARL3,Joubert syndrome 35; Retinitis pigmentosa 83,P36405,Q9SJI8,arabidopsis,dietary,87,0.922,0.9209,178,138,91.0,75.0
PLD3,Spinocerebellar ataxia 46,Q8IV08,P31687,soybean,dietary,87,0.9256,0.917,486,558,96.0,163.0
PLD3,Spinocerebellar ataxia 46,Q8IV08,Q84TV3,rice,dietary,87,0.9256,0.9166,486,469,96.0,85.0
PLD3,Spinocerebellar ataxia 46,Q8IV08,P14904,yeast,dietary,87,0.9256,0.9221,486,510,96.0,155.0
CD40,Immunodeficiency with hyper-IgM 3,P25942,A3BEP8,rice,dietary,87,0.9341,0.9243,273,275,107.0,74.0
HNRNPH2,"Intellectual developmental disorder, X-linked, syndromic, Bain type",P55795,Q8L8A7,arabidopsis,dietary,87,0.9237,0.9329,445,376,86.0,92.0
HNRNPH2,"Intellectual developmental disorder, X-linked, syndromic, Bain type",P55795,Q9LRW7,arabidopsis,dietary,87,0.9237,0.9139,445,509,86.0,66.0
DCT,"Albinism, oculocutaneous, 8",P40126,P23291,yeast,dietary,87,0.9384,0.9191,515,534,83.0,83.0
DCT,"Albinism, oculocutaneous, 8",P40126,P9WQ37,tuberculosis,microbial,87,0.9384,0.9187,515,499,83.0,96.0
TMPRSS3,"Deafness, autosomal recessive, 8",P57727,Q8W4D4,arabidopsis,dietary,87,0.9418,0.94,450,590,73.0,87.0
B4GALT7,"Ehlers-Danlos syndrome, spondylodysplastic type, 1",Q9UBV7,Q94AK4,arabidopsis,dietary,87,0.9471,0.9306,323,316,94.0,131.0
B4GALT7,"Ehlers-Danlos syndrome, spondylodysplastic type, 1",Q9UBV7,Q9LZJ6,arabidopsis,dietary,87,0.9471,0.939,323,253,94.0,118.0
B4GALT7,"Ehlers-Danlos syndrome, spondylodysplastic type, 1",Q9UBV7,P29012,ecoli,microbial,87,0.9471,0.938,323,352,94.0,117.0
B4GALT7,"Ehlers-Danlos syndrome, spondylodysplastic type, 1",Q9UBV7,Q8ZLM6,salmonella,microbial,87,0.9471,0.9307,323,311,94.0,156.0
B4GALT7,"Ehlers-Danlos syndrome, spondylodysplastic type, 1",Q9UBV7,C0H519,malaria,parasitic,87,0.9471,0.9546,323,309,94.0,194.0
ST14,"Ichthyosis, congenital, autosomal recessive 11",Q9Y5Y6,F4J7T6,arabidopsis,dietary,87,0.9297,0.9342,851,880,86.0,91.0
ST14,"Ichthyosis, congenital, autosomal recessive 11",Q9Y5Y6,Q9SCV4,arabidopsis,dietary,87,0.9297,0.9172,851,848,86.0,94.0
SLITRK2,"Intellectual developmental disorder, X-linked 111",Q9H156,Q8H0T9,arabidopsis,dietary,87,0.9314,0.9161,841,833,135.0,120.0
RAB33B,Smith-McCort dysplasia 2,Q9H082,Q8GY54,arabidopsis,dietary,87,0.9226,0.9181,225,212,89.0,71.0
TACSTD2,"Corneal dystrophy, gelatinous drop-like",P09758,P26754,yeast,dietary,87,0.9237,0.9198,319,269,92.0,76.0
PRLR,Multiple fibroadenomas of the breast; Hyperprolactinemia,P16471,O74161,candida,microbial,87,0.9296,0.9307,618,558,88.0,111.0
TBL1XR1,"Pierpont syndrome; Intellectual developmental disorder, autosomal dominant 41",Q9BZK7,P38758,yeast,dietary,87,0.9331,0.9332,510,519,101.0,180.0
TBL1XR1,"Pierpont syndrome; Intellectual developmental disorder, autosomal dominant 41",Q9BZK7,Q05040,yeast,dietary,87,0.9331,0.9134,510,519,101.0,75.0
TBL1XR1,"Pierpont syndrome; Intellectual developmental disorder, autosomal dominant 41",Q9BZK7,Q9XIA2,arabidopsis,dietary,87,0.9331,0.9208,510,477,101.0,115.0
ILDR1,"Deafness, autosomal recessive, 42",Q86SU0,Q8LIB3,rice,dietary,87,0.912,0.8829,542,564,70.0,59.0
ILDR1,"Deafness, autosomal recessive, 42",Q86SU0,Q9LR47,arabidopsis,dietary,87,0.912,0.8964,542,613,70.0,95.0
THBD,"Thrombophilia due to thrombomodulin defect; Hemolytic uremic syndrome, atypical, 6",P07204,P53919,yeast,dietary,87,0.9276,0.9181,571,488,77.0,72.0
THBD,"Thrombophilia due to thrombomodulin defect; Hemolytic uremic syndrome, atypical, 6",P07204,Q84K00,arabidopsis,dietary,87,0.9276,0.9226,571,563,77.0,104.0
THBD,"Thrombophilia due to thrombomodulin defect; Hemolytic uremic syndrome, atypical, 6",P07204,Q84MA2,arabidopsis,dietary,87,0.9276,0.9224,571,586,77.0,85.0
THBD,"Thrombophilia due to thrombomodulin defect; Hemolytic uremic syndrome, atypical, 6",P07204,Q9LJU0,arabidopsis,dietary,87,0.9276,0.9262,571,668,77.0,149.0
YAP1,"Coloboma, ocular, with or without hearing impairment, cleft lip/palate, and/or impaired intellectual development",P46937,Q2FYF1,staph,microbial,87,0.9336,0.9185,500,482,97.0,75.0
IRF2BPL,"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures",Q9H1B7,Q9SHI4,arabidopsis,dietary,87,0.9343,0.9278,792,752,77.0,68.0
THOC6,Beaulieu-Boycott-Innes syndrome,Q86W42,Q3EBM5,arabidopsis,dietary,87,0.9181,0.9259,337,443,77.0,93.0
FKRP,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A5; Muscular dystrophy-dystroglycanopathy ,Q9H9S5,Q9LG41,rice,dietary,87,0.9316,0.9272,491,435,100.0,148.0
FKRP,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A5; Muscular dystrophy-dystroglycanopathy ,Q9H9S5,Q9FLF7,arabidopsis,dietary,87,0.9316,0.9269,491,441,100.0,144.0
FKRP,Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A5; Muscular dystrophy-dystroglycanopathy ,Q9H9S5,Q59SJ9,candida,microbial,87,0.9316,0.9304,491,525,100.0,187.0
IL1R1,Chronic recurrent multifocal osteomyelitis 3,P14778,O53945,tuberculosis,microbial,87,0.9281,0.9141,565,581,70.0,79.0
ENG,"Telangiectasia, hereditary hemorrhagic, 1",P17813,Q9SU40,arabidopsis,dietary,87,0.925,0.9307,654,583,68.0,95.0
TMPRSS6,Iron-refractory iron deficiency anemia,Q8IU80,Q6ZJJ0,rice,dietary,87,0.9294,0.9221,807,844,99.0,178.0
TMPRSS6,Iron-refractory iron deficiency anemia,Q8IU80,Q8W0A1,rice,dietary,87,0.9294,0.9154,807,823,99.0,86.0
TMPRSS6,Iron-refractory iron deficiency anemia,Q8IU80,P16649,yeast,dietary,87,0.9294,0.9266,807,709,99.0,96.0
TMPRSS6,Iron-refractory iron deficiency anemia,Q8IU80,P18962,yeast,dietary,87,0.9294,0.9286,807,814,99.0,167.0
TMPRSS6,Iron-refractory iron deficiency anemia,Q8IU80,F4J7T6,arabidopsis,dietary,87,0.9294,0.9342,807,880,99.0,91.0
TMPRSS6,Iron-refractory iron deficiency anemia,Q8IU80,O48851,arabidopsis,dietary,87,0.9294,0.9231,807,767,99.0,124.0
COX11,"Mitochondrial complex IV deficiency, nuclear type 23",Q9Y6N1,Q5VNN5,rice,dietary,87,0.9286,0.9063,272,265,72.0,83.0
COX11,"Mitochondrial complex IV deficiency, nuclear type 23",Q9Y6N1,Q6K439,rice,dietary,87,0.9286,0.9374,272,315,72.0,104.0
LIMS2,"Muscular dystrophy, autosomal recessive, with cardiomyopathy and triangular tongue",Q7Z4I7,Q2R114,rice,dietary,87,0.9301,0.9115,337,350,63.0,66.0
